,feature,class,86,94,110,112,117,Control,73,76,89,93,195,196,iKO,iKO vs. CON,iKO vs. CON,63,80,83,108,116,G519R,G519R vs. CON,G519R vs. CON,248,249,255,257,Lrig1-D3,Lrig-D3 vs. CON,Lrig-D3 vs. CON,ALI,Lipid,
,fullname,,VilERT-G519R-86,VilERT-G519R-94,VilERT-G519R-110,VilERT-G519R-112,VilERT-G519R-117,,VilERT-M5B-73,VilERT-M5B-76,VilERT-G519R-89,VilERT-G519R-93,Lrig-M5B-195,Lrig-M5B-196,,,,VilERT-G519R-63,VilERT-G519R-80,VilERT-G519R-83,VilERT-G519R-108,VilERT-G519R-116,,,,Lrig1-M5B-248,Lrig1-M5B-249,Lrig1-M5B-255,Lrig1-M5B-257,,,,H655ALI,H655Lipid,H655
No.,cohort,,Control,Control,Control,Control,Control,Average,iKO,iKO,iKO,iKO,iKO,iKO,Average,"Fold change (log, base 2)",P-value,G519R,G519R,G519R,G519R,G519R,Average,"Fold change (log, base 2)",P-value,Lrig1-D3,Lrig1-D3,Lrig1-D3,Lrig1-D3,Average,"Fold change (log, base 2)",P-value,DGAT-ALI,DGAT-Lipid,"Fold change (log, base 2)"
21,CL 72:6;0,CL,57.6576004,15.40789986,10.46189976,25.25849915,68.8368988,35.52455959,70.39700317,57.1026001,45.43690109,29.56229973,29.62660027,41.98649979,45.68531736,0.4,0.45,14.13169956,39.07820129,26.33939934,14.14290047,31.16300011,24.97104015,-0.5,0.43,7.519020081,30.64520073,6.785890102,11.21070004,14.04020274,-1.3,0.17,4.965640068,4.49819994,-0.1
22,CL 72:8;0,CL,363.2130127,100.7539978,46.68099976,128.9450073,230.0800018,173.9346039,101.2139969,139.5879974,94.52069855,53.34109879,67.20120239,76.86560059,88.78843244,-1.0,0.14,73.9367981,151.0690002,104.8440018,33.81520081,64.42890167,85.61878052,-1.0,0.18,78.45490265,91.3062973,73.46330261,30.83979988,68.51607561,-1.3,0.15,2.758579969,1.385200024,-1.0
23,CL 72:9;0,CL,10.41230011,2.687639952,1.373149991,4.770349979,7.558730125,5.360434031,,5.14715004,2.927289963,,,,4.037220001,-0.4,0.66,2.092250109,3.005990028,,,2.087879896,2.395373344,-1.2,0.23,1.85521996,5.068319798,1.49533999,,2.806293249,-0.9,0.32,,,
24,CL 74:7;0,CL,,,,,,0,,,,,,,0,NA,NA,,,,,,0,NA,NA,,,,,0,NA,NA,1.120380044,,
25,CL 74:9;0,CL,10.57380009,1.594810009,,,7.004310131,6.390973409,,3.128720045,16.96809959,5.467239857,1.899620056,6.114620209,6.715659952,0.1,0.94,,12.65890026,7.65887022,2.293809891,6.917560101,7.382285118,0.2,0.78,,6.439430237,,,6.439430237,0.0,NA,,,
26,CL 76:10;0,CL,,,,,3.037389994,3.037389994,,,,,,,0,down,NA,,2.373650074,,,,2.373650074,-0.4,NA,,,,,0,Down,NA,,,
27,CL 76:11;0,CL,3.017379999,,,,,3.017379999,,,,,,,0,down,NA,,,,,,0,Down,NA,,,,,0,Down,NA,,,
28,CL 76:12;0,CL,4.30080986,,,,2.435179949,3.367994905,,,3.045429945,,,,3.045429945,-0.1,NA,,,,,,0,Down,Down,,,,,0,Down,Down,,,
29,CL 76:8;0,CL,3.705070019,,,,,3.705070019,,,,,,,0,down,NA,,,,,,0,Down,NA,,,,,0,Down,NA,,,
30,Cer 32:0;2,Cer,,,,,,0,,,,,,,0,NA,NA,,,,,,0,NA,NA,,,,,0,NA,NA,1.568570018,0.622214019,-1.3
