x,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,fullname,aag2-C1,aag2-C2,aag2-C3,aag2-V1,aag2-V2,aag2-V3,BHK-C1,BHK-C2,BHK-C3,BHK-V1,BHK-V2,BHK-V3,C636-C1,C636-C2,C636-C3,C636-V1,C636-V2,C636-V3,GPMV-C1,GPMV-C2,GPMV-C3,GPMV-C4,GPMV-V1,GPMV-V2,GPMV-V3,GPMV-V4,U2OS-C1,U2OS-C2,U2OS-C3,U2OS-V1,U2OS-V2,U2OS-V3
,,,,,,,shortname,aag2C1,aag2C2,aag2C3,aag2V1,aag2V2,aag2V3,BHKC1,BHKC2,BHKC3,BHKV1,BHKV2,BHKV3,C636C1,C636C2,C636C3,C636V1,C636V2,C636V3,GPMVC1,GPMVC2,GPMVC3,GPMVC4,GPMVV1,GPMVV2,GPMVV3,GPMVV4,U2OSC1,U2OSC2,U2OSC3,U2OSV1,U2OSV2,U2OSV3
,,,,,,,cohort,Aagcontrol,Aagcontrol,Aagcontrol,Aagvirus,Aagvirus,Aagvirus,BHK21control,BHK21control,BHK21control,BHK21virus,BHK21virus,BHK21virus,C636control,C636control,C636control,C636virus,C636virus,C636virus,GPMVcontrol,GPMVcontrol,GPMVcontrol,GPMVvirus,GPMVvirus,GPMVvirus,GPMVvirus,GPMVvirus,U2OScontrol,U2OScontrol,U2OScontrol,U2OSvirus,U2OSvirus,U2OSvirus
PC O-16:0;0/22:5;0,PC O-,GPL,MEM,38,5,0,,0.280274004,0.344871998,0.298153996,0.340701014,0.346376985,0.262347013,0.689059973,0.426876009,1.246680021,1.542330027,0.426582992,2.422849894,0.89863199,1.632959962,0.789987028,0.350048989,1.964750051,0.636440992,NA,0.82229799,0.523333013,0.644912004,NA,1.187270045,0.539620996,0.534358978,1.134629965,1.570279956,2.114219904,2.116859913,2.087310076,3.01364994
PC O-16:0;0/22:6;0,PC O-,GPL,MEM,38,6,0,,NA,0.071073703,0.126569003,NA,0.080868401,0.105361,NA,NA,0.370959997,0.353312999,NA,0.457318991,0.309199989,0.620976985,0.349622011,0.111942001,0.555284023,0.265870005,NA,NA,NA,NA,NA,NA,NA,NA,0.226858005,0.200482994,NA,0.405561,0.225703001,0.416832
PC O-16:0;0/24:1;0,PC O-,GPL,MEM,40,1,0,,NA,NA,NA,NA,NA,NA,1.146199942,0.370709985,NA,1.933869958,0.410575986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC O-16:0;0/24:2;0,PC O-,GPL,MEM,40,2,0,,NA,NA,NA,NA,NA,NA,0.569633007,0.238463998,NA,0.910744011,0.28044799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC O-16:0;0/24:3;0,PC O-,GPL,MEM,40,3,0,,NA,NA,NA,NA,NA,NA,0.198717996,NA,0.212768003,0.266458988,NA,0.401695997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.221599996,NA,0.233521998,0.205807,0.215918005,0.200565994
PC O-16:0;0/24:4;0,PC O-,GPL,MEM,40,4,0,,NA,NA,NA,NA,NA,NA,0.259530008,NA,0.37065801,0.293707997,NA,0.353309005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.223138005,0.162199005,0.323143005,NA
PC O-16:0;0/24:5;0,PC O-,GPL,MEM,40,5,0,,NA,NA,NA,NA,NA,NA,NA,NA,0.110682003,0.162841007,NA,0.162552997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.275308013,0.171230003,NA,0.407016009
PC O-16:1;0/16:0;0,PC O-,GPL,MEM,32,1,0,,1.274539948,1.864560008,1.522819996,1.79460001,2.367189884,1.936179996,7.487850189,8.315139771,4.200009823,13.61499977,8.602089882,5.924129963,9.970129967,15.40229988,7.365019798,5.063630104,19.35790062,6.808979988,7.660280228,7.946509838,2.432389975,3.737360001,NA,6.615640163,2.331729889,3.775779963,6.982890129,12.40649986,9.823570251,11.12390041,17.35099983,14.12020016
PC O-16:1;0/16:1;0,PC O-,GPL,MEM,32,2,0,,0.544631004,0.740774989,0.733317971,0.944387019,0.998790026,0.844150007,2.51451993,2.320230007,1.022359967,4.143010139,2.078079939,1.625689983,3.575449944,3.364459991,2.152050018,1.653270006,3.876029968,2.311209917,NA,1.477830052,0.235863,0.455006003,NA,1.625219941,0.177736998,0.454851002,4.015699863,7.451310158,5.153190136,6.320509911,11.82960033,6.523409843
PC O-16:1;0/16:2;0,PC O-,GPL,MEM,32,3,0,,NA,NA,NA,NA,NA,NA,0.0155699,NA,NA,0.0236621,0.034391001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.261835009,0.623800993,0.362877011,0.298781008,0.747843027,0.426449001
PC O-16:1;0/17:0;0,PC O-,GPL,MEM,33,1,0,,NA,0.00309709,NA,NA,0.00447939,NA,0.0293564,0.0141863,0.0142926,0.067072697,0.021543499,0.015637301,0.00824134,0.039530098,0.0100041,0.00465083,0.037440199,0.00559749,1.103919983,0.028537201,0.033482201,0.0395092,NA,0.0248798,0.038510501,0.030099001,0.008917,0.00725339,0.0134213,0.00745935,0.00804128,0.0158413
PC O-16:1;0/17:1;0,PC O-,GPL,MEM,33,2,0,,0.028283801,0.049254,0.0219191,0.0283821,0.108061999,0.030850399,0.033365399,0.0233016,0.022513,0.059389099,0.024008,0.037781,0.079194702,0.201005995,0.098561198,0.046867698,0.196788996,0.063171402,NA,0.022700701,0.00837246,NA,NA,NA,NA,0.0177362,0.018335501,0.025634199,0.0245093,0.0242125,0.030017801,0.032410599
PC O-16:1;0/18:0;0,PC O-,GPL,MEM,34,1,0,,0.238327995,0.338741988,0.238604993,0.33058399,0.431344986,0.323060006,1.004500031,1.006109953,0.642579019,2.047139883,0.911679029,0.936841011,0.331568986,0.339433998,0.26207,0.203204006,0.408326,0.258350998,1.302850008,0.381249011,0.109742001,0.150645003,NA,0.345764995,0.124113001,0.188950002,0.539620996,0.664206028,0.460364014,0.594516993,0.883083999,0.730067015
PC O-16:1;0/18:1;0,PC O-,GPL,MEM,34,2,0,,1.992120028,3.001620054,2.33217001,2.735579967,3.695790052,2.819279909,10.64000034,9.09416008,4.632040024,19.76919937,8.968560219,7.82517004,9.420619965,12.80679989,8.828749657,4.95486021,14.74040031,7.447140217,4.150559902,3.214230061,0.854852021,1.781319976,NA,3.108589888,0.978443027,1.760509968,6.554190159,11.15240002,7.62612009,10.99540043,16.32299995,10.81470013
PC O-16:1;0/18:2;0,PC O-,GPL,MEM,34,3,0,,NA,0.052729499,NA,NA,0.037109699,NA,0.198694006,0.215523005,0.275070995,0.361799002,0.263146996,0.420863003,0.159122005,0.528312981,0.190892994,0.093329698,0.48765099,0.149811,NA,NA,NA,NA,NA,NA,NA,NA,0.205858007,0.39459601,0.255400002,0.350403011,0.563000977,0.351009995
PC O-16:1;0/18:3;0,PC O-,GPL,MEM,34,4,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044306699,NA,0.058751501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.147070006,0.301530987,NA,0.260093004,0.542056024,0.293931991
PC O-16:1;0/19:1;0,PC O-,GPL,MEM,35,2,0,,NA,NA,NA,NA,0.00089707,NA,0.00434434,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00412461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC O-16:1;0/19:2;0,PC O-,GPL,MEM,35,3,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0125503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00909689,NA,0.0130317,0.00980366,0.0105077
PC O-16:1;0/19:3;0,PC O-,GPL,MEM,35,4,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.378100991,0.307925999,0.425826013,0.469363004,NA
PC O-16:1;0/20:0;0,PC O-,GPL,MEM,36,1,0,,0.053788401,0.059239302,0.0579524,0.095881797,0.102484003,0.045234699,0.031957202,0.0119768,NA,0.056994099,0.0119399,NA,0.083308503,0.0211962,0.085071899,0.041930102,0.0331637,0.087281197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC O-16:1;0/20:1;0,PC O-,GPL,MEM,36,2,0,,0.0280887,0.023127601,0.0119131,0.031879298,0.040092699,0.026460201,0.527635992,0.399720997,0.113720998,1.124549985,0.330899,0.204834998,0.0537351,0.044978,0.040979799,0.024915799,0.055829801,0.045349602,NA,0.040739998,NA,NA,NA,0.033215001,NA,NA,0.183938995,0.274302989,0.211713001,0.32682699,0.374754995,0.258801013
