Acyl Chain Length,DGAT-ALI,DGAT-Lipid
12,0.0,1.539771798495706
14,0.0,-0.3153822133977217
16,0.0,-0.05824678604968854
18,0.0,0.06505361434392747
20,0.0,0.23892158185667328
22,0.0,0.27522845815413555
24,0.0,-0.3411633937061259
32,0.0,-0.20023759093366078
34,0.0,-0.30635130040700886
36,0.0,-1.840542024984873
38,0.0,-1.840542024984873
40,0.0,-1.1881658751165525
42,0.0,-0.8881115572856743
44,0.0,-0.5883752284700802
46,0.0,0.9472861612878781
48,0.0,0.41914612271846574
50,0.0,0.01785361959219828
52,0.0,-0.07945358115084915
54,0.0,0.17073348320023132
56,0.0,0.08579679982569433
58,0.0,0.836869477516179
60,0.0,1.539771798495706
62,0.0,1.539771798495706
64,0.0,0.41083858968052783
66,0.0,0.23500859744419403
68,0.0,-1.840542024984873
70,0.0,0.028174814197049355
72,0.0,0.1340001879847603
74,0.0,-1.840542024984873
76,0.0,0.0
