Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
Des 18:1+NH4 (Des),431.6963,511.7378,648.1586,569.802,249.7957,279.1559,47.0916,0,400.0573,506.7937,509.3203,506.2256,0,0,0,0,516.4407,381.1356,269.3983,215.2897,511.9322,422.6271,409.5964,373.864,329.7502,341.5867,534.3728,429.5593,0,0,0,0,0,0,141.896,114.2195,0,22.2849,669.4237,765.3179,544.5449,596.9948
CE 18:1+NH4 (Chol),13308.3106,13524.5348,15265.714,13436.4459,9726.3918,9509.7347,6927.5392,6847.2946,8675.3863,8678.066,9355.8934,9909.0898,4272.7074,3891.3209,4440.4175,4428.335,3549.1228,3324.2497,2715.7541,2954.8627,4815.3892,4568.0144,4085.2672,4057.3484,6771.8355,5824.746,7159.0069,7273.3058,0,0,2696.3398,2605.2714,3167.353,3346.2034,4503.9787,4341.8338,4183.0214,4035.8996,13312.8157,14179.8983,10829.8265,10452.9631
Des 18:0+NH4 (Des),0,0,0,0,10.0215,0,0,0,0,0,0,0,0,0,1.2018,8.1807,0,5.9725,0,0,6.2977,16.6929,12.3546,29.3792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Des 18:0+NH4 (Des),93.7415,75.7648,50.4861,103.2896,56.9425,71.6058,214.6271,224.135,39.7335,36.1039,0,16.3247,0,0,0,0,0,0,213.489,260.9649,0,0,0,6.6267,16.6541,50.3409,0,0,0,0,0,0,0,0,154.9298,131.5599,0,0,6.1063,0,36.2438,34.9221
Des 19:3+NH4 (Des),228.0477,227.2276,157.6165,262.0522,86.9739,88.9756,1519.3962,1519.9401,56.0137,56.8582,0,0,237.4226,205.4435,160.8423,151.262,0,0,1114.6245,1260.7068,0,0,37.989,47.6971,11.1715,17.6917,0,0,0,0,0,0,0,0,750.8609,886.7113,726.7047,696.1493,0,0,84.998,82.4389
CE 19:0+NH4 (Chol),23.4983,24.6464,40.4022,15.6815,23.1103,12.5641,26.7831,12.5579,51.4454,15.0814,28.2121,12.7426,0,0,27.149,0,4.5283,5.8886,0,31.3296,0,22.5753,0,11.8127,0,22.6476,24.9388,16.813,0,12,0.7804,0,0,0,24.9727,0,27.2817,0,37.0528,12.0057,13.3667,31.8496
Des 20:6+NH4 (Des),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7192,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CE 20:6+NH4 (Chol),4.604,15.6463,8.1695,16.3837,6.195,19.8482,6.9629,0,0,0,8.4019,0,0,20.5972,0,0,3.91,20.402,0,0,0,0,5.0277,0,0,25.669,12.3118,21.9504,0,0,20.6221,0,25.0409,0,0,17.9285,0,2.5824,5.5164,16.4681,0,20.4604
Des 20:5+NH4 (Des),13.8264,0,0,4.4919,4.7041,0,0.4513,5.6654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4973,0,0,0,0,0,0,0,0,16.9249,0,0,0,0,0,0,0
CE 20:5+NH4 (Chol),229.7615,315.4954,261.9808,258.7141,224.2347,295.9413,314.6628,282.6482,98.9661,91.9989,84.9967,128.5477,3.8298,28.9597,0,0,2.3667,6.4699,22.8476,26.7181,0,10.3329,5.944,0,69.8721,69.0383,71.6314,108.6888,0,0,0,16.678,22.7026,23.2373,46.9255,53.8326,39.8595,0,92.2202,78.496,49.0693,52.122
Des 20:4+NH4 (Des),8.4684,1.0307,38.4265,17.4926,23.6209,19.5322,2.7401,7.222,29.8947,41.4355,48.9209,47,2.6458,0,0,11.3483,0,23.9822,3.8957,18.2286,28,0,23.937,0,0,10.257,0,25,0,0,52,57,57,54,13.9649,0,2.4568,0,0,24,0,21.8517
CE 20:4+NH4 (Chol),2151.3928,2118.5599,2437.0383,2211.7008,2951.9174,3043.9046,2889.618,2812.204,1223.94,1201.1395,1350.282,1463.7687,0,0,0,0,0,0,364.084,354.7935,0,0,0,0,700.9496,788.4712,0,0,0,0,0,0,0,0,1033.4462,1082.5586,860.314,867.9906,750.5526,793.9743,781.1992,665.4099
CE 21:5+NH4 (Chol),24.5717,0,0,13.8132,48.0046,28.6046,29.2743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
