Sample Name,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_B,NegMSMSALL-CAS9_B,NegMSMSALL-CAV_A,NegMSMSALL-CAV_A,NegMSMSALL-CAV_B,NegMSMSALL-CAV_B,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_B,NegMSMSALL-CAVIN_B,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_B,NegMSMSALL-CERS5_B,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_B,NegMSMSALL-Flot2_B,NegMSMSALL-RAJU-Blank,NegMSMSALL-RAJU-Blank,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_B,NegMSMSALL-SPTLC_B,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_B,NegMSMSALL-UGCG_B,NegMSMSALL-WT_A,NegMSMSALL-WT_A,NegMSMSALL-WT_B,NegMSMSALL-WT_B
SGalCer 36:0;4 (SGalCer),0,0,0,0,0,2.7369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8964,0,0,0,0,0,0,0,0
SGalCer 26:1;2 (SGalCer),0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGalCer 30:0;2 (SGalCer),0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
SGalCer 32:0;3 (SGalCer),0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGalCer 36:4;2 (SGalCer),0,0,0,0,0,0,6.9914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGalCer 38:3;3 (SGalCer),0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGalCer 34:1;3 (SGalCer),0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,27,0,0,27,0,20,0,41,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGalCer 42:0;2 (SGalCer),0,0,0,0,0,0,0,153.3847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.0436,0,0,417.6298,0,0,0,0,44.0487,45.8947,24.8624,70.3638,0.2696,0,0,0,0,0,0,0
SGalCer 36:2;3 (SGalCer),0,0,0,0,0,0,0,0,7.9875,0,0,11.9018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGalCer 40:3;2 (SGalCer),0,0,0,0,0,0,0,0,30.5829,0,0,0,2.1735,0,0,76.6023,0,0,0,0,0,0,0,0,150.243,0,0,0,0,0,0,0,0,0,433.1643,27.4567,0,0,0,118.2516,0,0
SGalCer 32:4;2 (SGalCer),0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGalCer 40:1;2 (SGalCer),0,0,0,0,0,0,0,0,0,0,2.0739,0,0,0,52.2573,1402.6116,0,0,0,0,0,0,0,0,0,0,169.6328,0,0,0,0,0,81.6926,0,1041.3822,0,32.7467,0,0,0,0,0
SGalCer 34:4;3 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGalCer 38:3;2 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,34,34,6.9214,0,0,0,0,27,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGalCer 32:2;2 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
SGalCer 36:0;2 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,23.2446,0,0,0,0,0,53.5553,0,0,0,0,0,0,0,0,0,0,0,15.7392,42.7047,0,0,0,0,0,0,0,0,0
SGalCer 36:0;2 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGalCer 36:0;3 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,8.4672,0,0,0,0,0,0,0,0,18.7636,0,0,0,0,0,0,0,0,0,0,0,13.4366,0,25.343,0,0,0,0,0
SGalCer 38:1;4 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
SGalCer 36:0;3 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.9007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGalCer 42:1;2 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,697.7623,515.5351,670.2958,818.904,735.3517,831.1892,811.7492,714.0427,790.5959,748.6476,0,450.4326,0,0,0,0,0,0,0,0,152.6398,0,0,0,0,442.9978,0,0
SGalCer 26:0;4 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
SGalCer 36:1;3 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGalCer 42:2;2 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.0387,0,0,71.9299,0,0,455.3946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGalCer 30:0;3 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGalCer 32:3;3 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
SGalCer 36:4;3 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGalCer 34:4;2 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGalCer 36:1;2 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGalCer 32:2;4 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,27,27,41,7,0,0,0,0,0,0,0,0,0,0,0,0,27,0,15.7574
SGalCer 32:1;4 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGalCer 34:2;3 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGalCer 44:4;2 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473.1956,0,0,60.9935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGalCer 32:2;2 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9994,1.7176,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
SGalCer 32:1;4 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGalCer 34:1;4 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.4909,0,0,0,0,0,0,0,0,36.2269,0,0,0,0,0,0,0
SGalCer 36:4;3 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.4879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGalCer 36:3;3 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGalCer 38:0;2 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1432.6938,0,0,0,10.2591,0,0,0,0,0,0,0,0,0,0,0,0
SGalCer 40:2;3 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5855,0,0,0,0,1.4995,0,0,26.2246,0,0,0,0,0,0,0,0
SGalCer 40:0;3 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.5098,0,0,0,0,56.0646,14.1315,68.3172,36.8619,0,0,0,0,0,0,0,0
SGalCer 40:2;4 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.3389,0,0,0,0,0,0,0,0,40.9012,0,0,0,0,0,0,0
SGalCer 42:2;3 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGalCer 44:4;2 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391.0728,0,0,0,0,381.6632,410.3687,505.1261,0,782.0586,0,0,0,0,0,0,0
SGalCer 24:0;4 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
SGalCer 24:0;2 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
SGalCer 38:0;3 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6136,0,0,0,0,0,0,0,0,0,0,0
SGalCer 40:4;2 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.2625,0,0,0,46.2042,0,0,0,0,0,0,0
SGalCer 32:0;2 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8713,0,0,0,0,0,0,0,0,0
SGalCer 38:0;4 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
SGalCer 28:1;4 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
SGalCer 26:2;2 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
SGalCer 40:1;4 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.7484,0,0,0,0,0,0,0
SGalCer 40:0;4 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6892,0,0,0,0,0,0,0
SGalCer 42:4;3 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.5558,0,0,0,0,0,0,0
SGalCer 42:3;3 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.6373,0,0,0,0,0,0,0
SGalCer 42:1;3 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.9018,0,0,0,0,0,0,0
SGalCer 42:1;3 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8179,0,0,0,0,0,0,0
SGalCer 42:0;3 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.4356,0,0,0,0,0,0,0
SGalCer 42:0;3 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.7656,0,0,0,0,0,0,0
SGalCer 44:2;2 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0035,0,0,0,0,0,0,0
SGalCer 44:2;2 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.6004,0,0,0,0,0,0,0
SGalCer 32:2;3 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
SGalCer 30:0;3 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
SGalCer 40:1;4 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
SGalCer 34:1;2 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
SGalCer 34:1;4 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
SGalCer 38:3;2 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1187,0,0
SGalCer 42:3;2 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.3735,0,0
SGalCer 34:1;2 (SGalCer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,34
