Sample Name,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_B,NegMSMSALL-CAS9_B,NegMSMSALL-CAV_A,NegMSMSALL-CAV_A,NegMSMSALL-CAV_B,NegMSMSALL-CAV_B,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_B,NegMSMSALL-CAVIN_B,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_B,NegMSMSALL-CERS5_B,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_B,NegMSMSALL-Flot2_B,NegMSMSALL-RAJU-Blank,NegMSMSALL-RAJU-Blank,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_B,NegMSMSALL-SPTLC_B,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_B,NegMSMSALL-UGCG_B,NegMSMSALL-WT_A,NegMSMSALL-WT_A,NegMSMSALL-WT_B,NegMSMSALL-WT_B
SGalCer 36:1;3 (SGalCer),79.2654,111.0964,86.0387,111.984,78.2635,80.5351,75.2654,43.5092,53.2942,64.4746,117.0179,128.3466,108.4182,106.1708,129.8409,94.5934,125.2763,80.1099,88.3091,136.8349,187.3038,107.8378,221.8146,159.2518,171.1022,38.4554,165.5016,111.2014,0,0,59.1078,44.3402,42.5897,95.6025,91.984,107.3149,77.1923,107.2942,102.4201,140.8146,156.4182,96.6329
SGalCer 36:0;3 (SGalCer),13.3757,13.325,3.5982,7.1788,0,7.5423,0,0,14.682,0,0,10.8759,0,0,22.7316,9.9811,9.5292,0,0,1.2307,22.9503,0,0,37.6515,53.6786,14.7525,27.4062,34.3393,0,0,27.1396,0,0,0,24.6994,19.2205,0,27.6155,0,0,0,0
SGalCer 38:4;2 (SGalCer),614.7895,516.7276,615.0049,447.8319,695.0586,810.8488,798.087,612.9627,790.6265,659.6827,606.7319,760.2182,759.1381,703.0488,774.2534,572.3311,530.3731,645.6109,468.2226,567.2034,676.9262,776.3096,743.0328,600.0794,668.4006,627.114,762.4068,707.8886,0,0,689.8718,720.652,771.1241,712.725,795.1024,848.4347,657.7519,700.7383,622.0281,0,0,511.6151
SGalCer 38:2;2 (SGalCer),16.7256,3.6924,36.9056,60.9314,1.6012,29.2866,0,0,0,39.4205,77.3117,25.9325,0,10.6239,0,0,68.9273,6.9527,0,63.0412,85.1616,45.0619,19.9308,64.3515,46.6334,14.9168,12.668,2.9847,0,0,16.9322,0,0,0,0,0,0,0,63.136,40.4197,60.5737,90.644
SGalCer 38:2;2 (SGalCer),331.7999,253.0366,381.0932,287.5671,216.7724,152.0901,148.3792,111.3678,250.3601,161.6201,194.4906,316.9057,237.0218,137.8981,399.7373,222.2396,207.6921,268.8526,104.4331,250.5278,398.7093,454.5588,347.6433,432.2547,333.4401,257.4614,283.5633,209.2024,0,0,113.1288,129.5507,209.8241,176.682,229.3379,222.3469,225.7118,204.0338,763.662,729.023,296.2851,689.4478
SGalCer 38:1;2 (SGalCer),1446.9922,1218.179,1374.6257,1518.9541,892.0882,728.9639,593.9803,562.1123,944.6446,1040.5461,981.7919,1091.0206,881.5323,654.9418,1228.8032,1409.8407,1777.3206,1630.7674,0,1506.4133,2245.9061,2155.4379,1942.5796,1780.5064,1964.8967,1566.5936,1156.4911,1283.2044,34,34,536.8766,558.1708,657.3176,650.7742,397.8701,806.7445,866.4474,923.9251,3389.9052,865.3861,1176.2526,2744.0442
SGalCer 38:1;2 (SGalCer),0,160.8472,210.6928,323.8902,0,221.0225,106.4596,106.7095,145.7249,192.8993,299.8467,298.307,53.5645,85.7437,129.6711,145.0937,358.5338,68.8138,0,259.5404,319.2775,435.6533,0,54.7491,374.6275,0,330.8835,439.1469,0,0,72.7673,124.7155,102.3371,127.8822,593.7428,39.4408,198.0273,114.6008,0,560.3649,0,0
SGalCer 36:2;4 (SGalCer),3087.3203,2379.603,2909.8086,3113.4743,1713.5506,1402.9019,1212.6815,1203.5094,1666.243,1604.9967,2219.5287,2441.3959,2102.4625,1483.1126,2548.1696,2543.0848,2684.6507,2809.0776,0,2841.3545,3783.0467,4163.1604,2889.9489,3120.1804,4563.3323,0,3522.7489,3272.6089,34.2176,27.2176,1028.7241,1281.6895,1468.0976,1293.052,2452.1483,2391.0846,2742.6996,2652.3788,3558.9202,3278.4579,0,2709.7668
SGalCer 38:4;3 (SGalCer),169.852,237,260.6413,201.0128,97.4137,58.6358,68,68,54,65.5147,108,61,88,68,99.8261,52.8244,176,156,127.8516,160.9229,154.2339,160.0552,106.939,169,279.3394,184.103,159.8437,185.0102,0,0,72.3244,104.1037,108.3174,91.4435,135,79.7742,72.8903,142,270,176.2041,156.7205,163.7274
SGalCer 38:3;3 (SGalCer),25.0697,11.3372,22.8529,2.3393,0,18.0979,10.3477,0,0,23.4591,8.179,0,32.9606,2.6367,13.7091,0,18.9213,0,20.1786,0,35.335,30.6895,6.7867,20.5949,4.9521,6.9409,19.9765,33.9251,0,0,0,40.2133,18.7168,16.3065,28.7237,6.0813,11.9686,20.0501,9.4474,0,1.2366,5.5188
SGalCer 38:3;3 (SGalCer),40.3572,30.2315,21.0204,35.9394,0,25.5909,35.8129,10.7423,0,27.9226,28.3818,29.5584,15.1207,0,51.6088,36.7139,17.1197,62.7362,32.0548,34.9882,48.5191,15.7059,32.0964,22.6304,17.4306,28.9122,16.9813,33.9005,0,0,24.9715,0,14.5352,10.0726,47.2538,0,33.1012,24.8952,15.9793,15.6237,55.4449,45.3908
SGalCer 38:2;3 (SGalCer),170.0222,205.2631,234.429,241.9218,114.8901,101.388,97.0607,103.7379,165.1166,118.6068,202.3439,172.9286,116.6305,98.2787,153.1051,180.0252,178.281,187.9734,264.7969,274.3786,291.022,237.1735,179.5771,221.7331,267.5425,160.8643,198.255,238.4517,0,0,73.387,68.9646,126.9175,96.4117,0,227.2125,158.8208,112.9864,301.5987,295.2806,193.999,238.8158
SGalCer 38:2;3 (SGalCer),49.092,0,15.3531,0,4.1483,6.2221,0,0,0,36.0426,27.2309,37.9588,0,12.9173,0,38.2477,44.189,14.4545,0,0,49.6888,41.7144,94.7372,30.0014,18.7972,45.5089,0,0,0,0,29.815,0,14.5026,0,54.17,0,45.6716,26.0964,0,0,40.0223,0
SGalCer 38:1;3 (SGalCer),183.7949,286.4143,216.7838,318.2892,0,0,142.9975,89.1904,143.3366,190.8119,163.2242,149.7202,139.4065,144.1804,175.3783,134.148,301.5023,0,271.9617,235.7889,403.7569,457.7846,263.3432,306.1081,376.3803,297.2376,301.9393,352.8562,0,0,70.6252,122.236,101.6208,110.8892,220.894,174.9489,196.2914,212.2865,230.42,137.6437,0,149.4462
SGalCer 40:3;2 (SGalCer),981.7068,1156.6796,1350.3022,1303.148,929.505,834.3851,739.5821,843.8129,513.4961,506.6389,637.4553,692.2968,0,0,919.4591,652.6833,1281.4882,1219.7234,1149.267,1345.1089,1344.7477,1464.1726,1203.6493,1340.1527,972.2206,1058.2828,1091.3205,1148.814,0,0,580.4091,579.9329,755.5039,705.4117,151.9827,926.62,910.5279,931.8972,1026.2603,0,1056.1532,1005.2173
SGalCer 40:2;2 (SGalCer),510.5913,473.9389,584.2228,603.0105,0,392.2797,373.4645,395.3167,361.0889,0,569.1878,527.9397,0,0,444.3853,0,686.1748,648.8024,535.7688,481.7849,863.5003,782.9951,408.7206,528.5998,822.807,658.9147,0,831.431,0,0,303.5912,365.5394,443.7369,343.1725,453.0649,406.1635,350.9434,464.1381,799.3541,1063.1857,714.0034,654.985
