Sample Name,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_B,NegMSMSALL-CAS9_B,NegMSMSALL-CAV_A,NegMSMSALL-CAV_A,NegMSMSALL-CAV_B,NegMSMSALL-CAV_B,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_B,NegMSMSALL-CAVIN_B,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_B,NegMSMSALL-CERS5_B,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_B,NegMSMSALL-Flot2_B,NegMSMSALL-RAJU-Blank,NegMSMSALL-RAJU-Blank,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_B,NegMSMSALL-SPTLC_B,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_B,NegMSMSALL-UGCG_B,NegMSMSALL-WT_A,NegMSMSALL-WT_A,NegMSMSALL-WT_B,NegMSMSALL-WT_B
OAHFA_16:1/ 20:2 (16:1 FA),0,0,94.021,76.2439,16.7021,27.785,42.0045,52.016,0,0,0,0,0,0,64.6321,46.1332,23.3504,35.4235,46.8361,41.3565,0,0,0,0,0,0,0,0,0,0,0,48.2906,54.3446,22.4536,25.0321,50.5266,46.9484,31.7434,0,0,0,0
OAHFA_16:0/ 20:1 (FA 20:1),0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,41,0,0,7,0,0,0,237,0,0,128
OAHFA_18:2/ 20:2 (FA 20:2),0,0,19.2974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
OAHFA_16:0/ 16:1 (16:0 FA),0,0,0,0,0,0,51.4981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.559,194.2098,172.1555,0,18.1468,0,71.7761,45.7823,0,0,0,0
OAHFA_18:0/ 18:2 (FA 18:2),0,0,0,0,0,0,675.9929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4939.0681,0,0,663.8872,0,0,0,0,0,0,0
"OAHFA_18:1/ 18:1 (FA 18:1,18:1 FA)",0,0,0,0,0,0,861.7151,527.7045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5142.2371,4131.7117,2165.6077,2096.8667,620.1672,624.6933,0,0,0,0,0,0
OAHFA_16:0/ 20:2 (16:0 FA),0,0,0,0,0,0,911.8666,945.9874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338.7756,354.2749,401.2299,332.4566,1073.176,963.9368,0,0,0,0,0,0
OAHFA_18:0/ 18:2 (18:0 FA),0,0,0,0,0,0,1107.935,939.3099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457.687,409.1326,409.609,372.4577,1140.226,1042.5837,0,0,0,0,0,0
OAHFA_18:1/ 20:2 (18:1 FA),0,0,0,0,0,0,502.445,357.5245,0,0,0,0,0,0,458.5229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0471,398.9176,371.8101,422.3859,0,0,0,0
OAHFA_18:2/ 20:1 (18:2 FA),0,0,0,0,0,0,27.5959,0,0,0,0,0,0,0,34.8716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8531,0,0,0,0
