Sample Name,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_B,NegMSMSALL-CAS9_B,NegMSMSALL-CAV_A,NegMSMSALL-CAV_A,NegMSMSALL-CAV_B,NegMSMSALL-CAV_B,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_B,NegMSMSALL-CAVIN_B,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_B,NegMSMSALL-CERS5_B,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_B,NegMSMSALL-Flot2_B,NegMSMSALL-RAJU-Blank,NegMSMSALL-RAJU-Blank,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_B,NegMSMSALL-SPTLC_B,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_B,NegMSMSALL-UGCG_B,NegMSMSALL-WT_A,NegMSMSALL-WT_A,NegMSMSALL-WT_B,NegMSMSALL-WT_B
Group,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1
SM 36:1;3 (SM),1.4597,43.1512,16.474,30.4988,22.0862,17.0166,0,31.0667,19.8917,18.7556,35.5322,0,7.6208,46.6401,0,53.8585,4.1789,19.1505,4.2587,8.7228,4.1418,11.0731,18.7039,59.4116,55.7808,45.0847,58.6419,26.3315,0,7,12.2735,33.583,22.8849,0,24.3303,0,34.3345,15.8259,21.5316,19.4334,0,16.4927
SM 36:1;4 (SM),9223.8259,7506.5647,8290.8029,6384.2809,7269.883,6403.534,4157.2124,5043.9548,9232.6527,9211.2805,9620.783,9488.3891,10328.5649,9472.8023,10795.2927,10325.7624,9548.9066,8405.333,13615.0707,12056.4139,12861.1948,11577.6102,11886.0435,12160.5426,7919.0294,8117.162,6045.5797,6949.7759,41,27,3699.412,3790.7246,4210.0603,3944.4408,5955.4555,6335.9721,5202.0859,5272.4586,11114.0251,9226.0191,9367.5831,8876.0964
SM 36:2;3 (SM),0,19.8945,18.0672,11.9238,23.0655,26.5408,5.7294,0,47.737,0,9.5157,0,0,0,9.8357,0,8.001,3.846,0,0,0,32.9389,0,9.0354,0,9.1486,0,0,0,0,0,1.3179,0,18.138,19.2644,30.758,0,0,8.2893,0,0,21.8483
SM 36:3;2 (SM),0,0,0,0,0,0,44.6495,10.5454,0,0,0,0,0,0,18.7812,23.3026,0,0,40.7812,28.7769,0,0,36.6195,0,0,49.0948,0,0,0,0,10.6782,35.1209,0,0,50.3564,0,0,0,0,0,0,0
SM 36:3;3 (SM),42.383,19.3326,114.0258,12.3705,4.266,65.5977,107.1987,58.0881,48.4673,137.8196,67.9055,76.4287,101.3911,193.8387,255.1577,124.0738,115.1925,43.7634,142.0869,106.9553,79.2191,134.2381,133.3853,163.4517,131.5424,94.7959,159.3154,208.7679,0,0,34.1161,18.9964,50.069,69.344,201.2649,126.3273,348.4306,227.306,123.7908,36.2716,68.6746,40.1268
SM 36:4;2 (SM),84.9969,87.584,94.8694,72.719,3.7052,28.7236,56.7161,52.2388,62.6235,81.8932,90.4167,75.2035,0,78.2367,100.0946,72.9905,54.58,99.6443,41.3018,74.631,96.0293,89.7836,0,85.3131,37.9082,46.2877,51.6477,43.0542,0,0,37.9082,23.3994,49.9541,42.9541,0,0,83.0542,33.584,85.643,59.5096,120.6694,61
SM 36:4;3 (SM),969.324,0,892.7118,0,995.6883,768.1293,781.1527,785.9964,1329.768,1325.843,1082.7068,1256.4595,1746.17,1400.681,1966.9179,2016.7247,1471.0785,1540.657,1993.2419,1742.8309,1273.6665,1264.6992,1422.2377,1268.5382,1090.8167,0,1107.7429,1111.4063,0,0,536.4546,703.0423,631.8283,597.4857,1699.5029,1940.7115,1650.044,1667.2248,1132.8105,1046.6741,0,1346.2992
SM 38:0;2 (SM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703.0892,0,0,586.2462,0,0,0,0,0,0,0,0,300.7369,0,0,0,0,0,0,0
SM 38:0;3 (SM),84.5496,138.492,80.2444,155.8452,128.2378,18.2297,77.8364,88.4145,149.7921,74.418,187.1312,128.0151,151.4769,120.2421,137.9383,195.7279,143.1507,80.6699,217.0694,180.7082,126.6568,195.5289,0,235.4902,142.777,100.1995,182.2762,110.4667,0,0,41.5568,16.0216,59.3836,107.3432,0,24.6845,66.3709,27.6697,86.2026,106.3189,127.3319,106.861
SM 38:0;4 (SM),0,148.938,134.4528,81.7445,79.314,128.9335,69.646,38.566,20.9152,0,0,23.3809,35.3563,70.6445,0,0,0,0,34.4124,0,0,118.7963,62.4578,114.2879,164.6398,54.8548,61.0343,30.7167,0,0,51.3332,5.9123,48.0193,9.7785,54.756,79.8814,50.2702,0,0,0,79.2016,17.0981
SM 38:1;3 (SM),5.8267,0,0,51.3424,0,0,0,33.8069,0,26.9571,0,0,58.964,0,0,0,0,0,0,0,0,0,0,26.7712,42.4125,0,0,0,0,0,0,0,0,31.4408,0,0,0,0,0,0,0,0
SM 38:1;4 (SM),267.6683,296.7544,299.2816,272.8368,227.5891,208.0637,197.4555,203.823,247.0932,289.9782,222.0019,306.2812,247.5684,194.0311,274.2459,310.07,311.1529,309.2055,374.6324,359.3217,409.823,382.7642,374.9746,400.9609,424.6226,331.1824,360.475,375.2879,0,0,187.5842,95.5766,112.0824,135.3985,143.2219,148.4944,119.3222,143.4284,312.8756,228.2188,121.107,251.8874
