Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
SGalCer 28:3;2 (LCB 18:0;2-H2O),30.0914,35.5114,22.9826,22,39,23,34.2087,31.9151,0,22,0,0,0,0,0,28.8471,0,0,34.6694,47.2524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.7449,13.1696,37.9216,18.2699,0,0,22,0
SGalCer 26:0;4 (LCB 18:0;2-2H2O),250.1505,234.0372,248,212,224.7949,256.3682,160,169,226.7585,263.2841,265.5563,256.4894,263.3553,287.0023,344.7633,311.4822,229,235,197.4894,216,267.9119,314.184,261.1678,271.1305,265.7218,208.6556,257,259.1505,0,0,79.6464,63.1929,67.9983,76.9354,91.7151,104.2191,89,99,467.4045,417.456,328,370.1505
SGalCer 26:0;4 (LCB 18:0;2-H2O),79.0268,85.9596,78.3493,69.3931,82.9744,66,83.0694,143.9262,76,66.0478,59,62,98,95.8883,389,327,88,56,105.0653,100.7303,57,54,62.8883,82,52,55,64,45,0,10,0,0,0,0,68.0798,62.37,59.073,45.5711,89,101,98,115
"SGalCer 29:4;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",46.4307,61.6921,140.1689,119.903,156.9296,125.6546,117.1289,126.6976,199.7764,161.3591,151.5214,147.625,148.6516,124.6207,121.8617,120.7969,156.1737,141.4596,168.4426,165.0562,212.5662,196.1241,145.7964,160.8691,118.9169,77.4269,130.0066,119.8103,0,0,26.8622,38.59,28.8905,72.1502,116,116,150,121,189.7716,158.2477,144.8921,137.94
SGalCer 29:4;2 (LCB 18:0;2-H2O),0,0,0,0,0,0,2.0428,0,0,0,0,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9315,0,0,0,0,0,0,0,0,0,2.3785,2.3089,0,0,0.7138
SGalCer 29:4;2 (LCB 18:0;2-H2O),15.3491,0,0,0,0,0,21.8001,20.0143,0,0,0,0,0,0,0,0,0,0,4.7978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SGalCer 28:4;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",22.9327,0,28.913,0,0,0,48.9222,55.7087,16.888,0,29.9211,26.7785,0,0,0,0,0,0,48.8583,47.6183,0,0,24.9257,26.558,0,0,0,0,0,0,0,0,0,0,29.3448,0,49,34,0,0,28.983,22.9574
SGalCer 28:3;3 (LCB 18:0;2-H2O),28.7676,34.2167,26.286,22.3676,0,0,166.4167,192.552,0,0,0,0,26.1069,26.1262,0,0,0,0,52.7391,30.3937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.3796,34.5915,16.6414,18.2672,0,0,27.1069,0
"SGalCer 30:4;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",39,35,0,0,30,30,13,0,51.6652,32,25,0,63.4604,60.8739,46.0256,52.3125,0,0,0,0,24,34,61,38.4954,112.7075,118.981,33,0,0,0,0,0,0,0,60.6269,97.7389,0,0,0,0,0,0
"SGalCer 30:4;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",61.1657,28.9949,97,74,77.2813,83.2813,83.0552,99,91.0318,101.3667,87.5678,91,76.257,74.58,124.91,115.0969,77,65,46.9396,77,88.025,87.4522,64.1053,106.5266,28.5323,7.2013,85.9094,89,0,0,34.799,32.1959,52,71,20.0871,0,44,45.4823,108,96,98,96
