Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
Hex2Cer 26:1;4 (LCB 17:0;2-2H2O),10,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hex2Cer 26:0;4 (LCB 18:0;2-2H2O),32,25,30,34,22,0,0,26.7233,0,5.8893,24,29,14.349,27.8156,49.9976,40,49,29,32.8367,57.8296,30,25,29,37,4.2545,0,37,40.524,0,0,17.5939,4.1387,29.9737,0,34,12.3168,37,39,32,17.6614,28,25
"Hex2Cer 26:0;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",109,79,74,71,162.0805,188.4947,106.1109,138.1816,51.1512,84.2431,84.8576,127.3936,91,80.5251,103,92,52,79,57,59,117.1816,118,139.1109,152,128,94,103.3533,130,0,0,30,12,30,22,0,0,0,0,38.2219,45,35,0
Hex2Cer 28:3;3 (LCB 18:0;2-H2O),23,0,0,0,0,0,23.1522,22.8909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hex2Cer 28:2;3 (LCB 18:0;2-2H2O),33.9964,0,29.9966,0,41.9766,0,0,0,0,21.9993,0,0,0,0,0,0,0,0,0,0,33.9966,81.9972,39.9692,33.9697,0,0,29.9958,0,0,0,0,0,0,0,24.9962,21.9344,0,29.9956,48.9964,5.0372,37.9969,32.9972
"Hex2Cer 28:1;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",22,0,0,0,0,0,0,0,7.4161,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,35.9784,23.3464,0,0,0,0,0,0,0,0,37.8718,26.843,0,0,0,0,0,0
"Hex2Cer 28:2;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",22,0,0,0,37,37,23,37,23,25,0,35,0,0,0,0,0,0,0,0,0,0,22,0,28,34,22,23,0,0,0,0,0,22,0,0,0,0,0,0,0,0
Hex2Cer 30:0;2 (LCB 18:0;2-H2O),25,14.1109,0,0,0,0,25.5744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
Hex2Cer 28:1;4 (LCB 18:0;2-2H2O),28,43,32,44,0,0,24,0,25,22.3111,25,0,26.4132,21.2856,29.4387,24.3262,25,30,42,0,20,0,24.4387,41.3903,15.8518,0,55,37,0,0,0,0,23.469,0,0,25.9299,0,27,49,44,34,59
"Hex2Cer 28:1;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",298.8618,339,429,341,641.0072,587.7476,503.3443,507.488,474.2646,480.6262,544,452.0984,339,336,361,343,164,121,145,170,369.0042,475,314.8618,421,416.2787,317.6956,474.8618,408.2646,0,0,270,270,308,297.1821,0,0,0,0,321,403,318,307
