Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
"HexCer 28:1;4 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",554.2863,639.5357,768.5091,698.3863,257.0618,0,351.8366,348.8975,349.6246,331.6589,0,189.5639,0,0,0,0,0,0,0,281.2854,479.3291,396.9122,436.1156,432.2159,0,354.8161,530.9293,0,0,0,0,0,0,0,301.3611,353.9732,318.0726,366.8458,267.5815,332.6919,208.5761,254.0214
"HexCer 28:1;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",4719.37,4678.6734,5420.7682,4307.7211,2872.5455,0,2445.5181,2399.3896,3501.1931,3042.3142,0,3537.8393,0,0,0,0,0,0,0,1491.2273,3236.5176,3260.5781,3329.7766,3155.7536,0,2743.0609,3360.3988,0,0,0,0,0,0,0,2501.2096,2458.1932,2583.0666,2372.6274,5157.858,5012.6314,5165.5015,4605.9098
HexCer 28:1;4 (LCB 18:0;2-2H2O),22.5247,25.8274,12.2303,0,11.1872,0,0,0,0,0,0,27,0,0,0,0,0,0,0,27,0,0,16.3835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6205,54,0,27,0
"HexCer 28:1;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",653.4826,681.8774,591.3432,669.8352,391.956,0,471.7722,419.2245,596.0413,498.4224,0,477.9451,0,0,0,0,0,0,0,268.2524,463.9451,497.9451,456.4495,443.873,0,340.3932,437.9102,0,0,0,0,0,0,0,352.4674,410.2576,312.6947,334.1034,655.8153,614.2115,627.8153,602
HexCer 28:1;4 (LCB 18:0;2-H2O),2.2452,47.2191,6.6418,0,0,0,0,58.0519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6012,9.8009,0,0,0,0,0,0,0,0,0,0,0,0,12.8367,4.9681,0,0,21.547,41.5257
HexCer 28:1;4 (LCB 17:0;2-2H2O),285.8159,304.7195,310.9163,313.8159,174.7493,0,137.8159,171.8159,202.9919,230,0,277.1048,0,0,0,0,0,0,0,148.9572,285.8159,196,231.2008,269.9598,0,189.4001,162,0,0,0,0,0,0,0,247.0167,188.9651,189,196,389.1144,326.8159,323.9163,263.014
"HexCer 28:0;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",1729.8699,2049.6712,2237.1259,0,0,0,907.0109,791.3119,0,0,0,0,0,0,0,0,0,0,1059.7565,1057.8379,2086.9659,2437.5084,2053.081,1998.546,0,1913.9667,0,0,0,0,0,0,0,0,2276.7334,2123.0378,2219.0956,2209.107,0,0,0,0
HexCer 28:0;4 (LCB 18:0;2-2H2O),110.8308,159.6938,131.2421,0,0,0,53.893,67.7087,0,0,0,0,0,0,0,0,0,0,40.7689,24.3132,101,64.4275,77.2646,61.8555,0,105.1217,0,0,0,0,0,0,0,0,54.2462,97.1086,114.537,119.0922,0,0,0,0
"HexCer 28:0;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",251.6009,309.9579,392.1276,0,0,0,152.2183,123.2665,0,0,0,0,0,0,0,0,0,0,187.0207,137.3881,383.3342,265.254,316.291,277.5227,0,279.0356,0,0,0,0,0,0,0,0,373.1332,333.8245,336.2682,267.3535,0,0,0,0
HexCer 28:0;4 (LCB 18:0;2-H2O),142.2646,167.256,164.6612,0,0,0,119.065,27.3062,0,0,0,0,0,0,0,0,0,0,104.3483,54.1865,95,54,70.753,97.2016,0,77.4273,0,0,0,0,0,0,0,0,271.7413,218.869,265.7767,321.9485,0,0,0,0
