Sample Name,CAS9,CAV,CAVIN
SM 42:2;3 (SM),0.0,-2.6267311388741366,-0.33654403077588285
SM 42:1;3 (SM),0.0,-0.3807248557278463,-0.4782812686447186
SM 42:0;3 (SM),0.0,-0.38918225666124473,-0.21018281708992456
"SM 44:4;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,-0.9999999999999998,0.4257343109785803
SM 42:1;4 (LCB 18:0;2-2H2O),0.0,-9.449176165643829,-1.4755512735544187
SM 42:1;4 (SM),0.0,-1.2052709912285569,-0.660172282994893
SM 42:0;4 (LCB 18:0;2-2H2O),0.0,-1.6434066662845759,0.4619507131349355
SM 46:0;2 (SM),0.0,-1.620717787556647,-1.620717787556647
"SM 44:1;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,-0.031476483371880665,1.7152279449115697
SM 44:1;4 (LCB 18:0;2-2H2O),0.0,-3.242491407003244,0.8055792873209382
SM 44:1;4 (SM),0.0,5.772293512690214,1.4166723986290868
SM 44:0;4 (LCB 18:0;2-2H2O),0.0,-3.336536909663321,-3.6280829265614707
SM 44:0;4 (SM),0.0,-1.3930309548103805,-0.9566429477930986
"SM 46:2;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,-1.6394778957112774,-0.09523349496622582
SM 48:0;2 (LCB 18:0;2-2H2O),0.0,-1.0000000000000002,-1.0000000000000002
SM 46:1;4 (LCB 18:0;2-2H2O),0.0,-4.21865367649652,-0.24105966603374765
"SM 46:1;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,0.08601956055499212,0.027432361897317986
SM 46:1;4 (SM),0.0,1.0897057935119099,1.2221787816455407
SM 46:0;4 (LCB 18:0;2-2H2O),0.0,-1.6279332019923833,-1.1701737835751953
SM 46:0;4 (SM),0.0,-2.903249769022039,-0.5871556371519866
"SM 32:4;2 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",0.0,0.3331160681487109,-1.0
SM 32:4;2 (SM),0.0,-0.8206040448747572,-1.0
"SM 30:3;4 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",0.0,-1.5280972484058928,-1.212917533737242
"SM 34:2;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,0.9112623197424212,0.17343423713667977
SM 34:2;3 (LCB 18:0;2-2H2O),0.0,1.066346026095251,1.210374224099321
"SM 34:1;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,-1.0,-1.0
"SM 34:1;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,0.5150349222086882,1.2458186244524556
"SM 36:0;3 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,0.12644482837281346,-1.0
SM 36:0;3 (SM),0.0,4.798933651877459,2.1249103902196693
"SM 38:1;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,-0.24012101626538007,0.3605076230636574
SM 38:0;2 (LCB 18:0;2-2H2O),0.0,-1.719411897417626,-1.003890301701831
SM 40:2;3 (SM),0.0,4.5283341570604545,2.5467821690853922
