Acyl Chain Length,Control,G519R,Lrig1-D3,iKO
12,0.0,-1.0,-1.0,0.2605051300676927
14,0.0,-1.5296214906776977,-0.4135467577499062,0.9911557479643831
16,0.0,-2.971116652065932,-0.2761973411783395,-0.6399609894267149
18,0.0,3.8104336316980523,1.17655454032111,1.2999094229480235
20,0.0,2.442242023703127,1.9723556769109019,3.65170137245687
22,0.0,-0.7376147535309224,0.2829743379746998,1.0466456488148428
24,0.0,1.7442265592125463,-0.9405371210861071,2.0828531699693547
32,0.0,-3.5185514666749085,-3.5185514666749085,-0.8036614506736607
34,0.0,-1.706726360407885,-2.551446443166876,-4.854285281949317
36,0.0,3.5910542744308116,1.8886268042585626,2.316445722217978
38,0.0,5.376030608847973,2.0757725842282055,8.636596015540022
40,0.0,7.504365253569822,4.786891399489208,7.113177175396592
42,0.0,3.0625270705273677,4.438257954664567,4.5424472597478305
44,0.0,0.5219561862091182,-0.03768666514723384,0.6450750187527704
46,0.0,-3.25740154397318,-0.9163423779220895,-3.432463644335686
48,0.0,-3.643452478844254,-0.9120982095638646,-1.9211360504170252
50,0.0,-2.9802365520800773,-0.9228330015206919,-1.7818163492985077
52,0.0,-2.2877373231445404,-0.6558993350086144,-2.0635078346643465
54,0.0,-1.4083169166163279,-0.4719991650008729,-1.9167113908879472
56,0.0,-0.8871437134611639,0.03916664127399923,-0.9407485700040609
58,0.0,1.4428988919861745,-0.12032306556917999,0.6387634530325753
60,0.0,1.9565214529524322,0.2273462869205489,1.440889069689772
62,0.0,2.795487368363139,-0.11464534690334365,1.5282075094990422
64,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0
68,0.0,1.6423912817009465,0.8316046206544843,2.343875734705009
70,0.0,-0.37499132988094175,-3.3932057399524393,-1.2452929762557867
72,0.0,-1.7317555003613616,-2.419611167536689,-6.210609097537182
74,0.0,1.8632901322507818,-0.9818387488371546,0.7697617744410012
76,0.0,-1.0666639164134804,-1.5448818909934399,-1.3301868127596053
