Head Group,Control,DGAT-ALI,DGAT-Lipid,G519R,Lrig1-D3,iKO
CE,0.0,0.0,0.0,-3.2662810988777755,0.49232140397798724,-0.44278518769832714
CL,0.0,0.0,0.0,-1.3718829764912241,-2.6325932602804447,-5.527974930879973
Cer,0.0,0.0,0.0,0.617374040696281,-0.20092598423118835,1.5808002373111114
"DAG,TAG,MAG",0.0,0.0,0.0,-2.210155086837583,-0.5123478974401438,-0.6799535969132285
Hex_Cer,0.0,0.0,0.0,-0.2631621609828182,0.8906955125585658,-0.37279741054226445
LPA,0.0,0.0,0.0,0.2888990367361373,3.301072479304774,1.730999781747681
LPC,0.0,0.0,0.0,-4.630092153952641,0.995108843909377,-1.138727352082243
LPE,0.0,0.0,0.0,-2.1280060902017075,0.8669537974812925,-1.7188386986884299
LPG,0.0,0.0,0.0,-1.2521783997016651,2.7074535327057094,0.5936740075158106
LPI,0.0,0.0,0.0,-3.1989421446365367,0.8336548919776818,-0.30155341845684386
LPS,0.0,0.0,0.0,2.94571783827338,1.9347663552832777,2.8172970298162014
PA,0.0,0.0,0.0,0.1920152789612558,2.110679647099556,0.33619962122712177
PC,0.0,0.0,0.0,3.677775581669411,-1.791257882812408,0.26488096849306203
PE,0.0,0.0,0.0,0.5464348907020898,-0.06163707134841569,-0.2504320758210803
PG,0.0,0.0,0.0,-0.5475870236860616,1.2214087222500405,1.6222454898574112
PI,0.0,0.0,0.0,-4.13641021157071,-1.3278249617702214,-4.689490421351038
PS,0.0,0.0,0.0,2.3487089303508815,2.393671996978256,5.894444486009228
SM,0.0,0.0,0.0,1.5894819147561863,0.07998441568747466,0.3419351250829239
