feature,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,fullname,aag2-C1,aag2-C2,aag2-C3,aag2-V1,aag2-V2,aag2-V3,BHK-C1,BHK-C2,BHK-C3,BHK-V1,BHK-V2,BHK-V3,C636-C1,C636-C2,C636-C3,C636-V1,C636-V2,C636-V3,GPMV-C1,GPMV-C2,GPMV-C3,GPMV-C4,GPMV-V1,GPMV-V2,GPMV-V3,GPMV-V4,U2OS-C1,U2OS-C2,U2OS-C3,U2OS-V1,U2OS-V2,U2OS-V3
,,,,,,,shortname,aag2C1,aag2C2,aag2C3,aag2V1,aag2V2,aag2V3,BHKC1,BHKC2,BHKC3,BHKV1,BHKV2,BHKV3,C636C1,C636C2,C636C3,C636V1,C636V2,C636V3,GPMVC1,GPMVC2,GPMVC3,GPMVC4,GPMVV1,GPMVV2,GPMVV3,GPMVV4,U2OSC1,U2OSC2,U2OSC3,U2OSV1,U2OSV2,U2OSV3
,,,,,,,cohort,Aagcontrol,Aagcontrol,Aagcontrol,Aagvirus,Aagvirus,Aagvirus,BHK21control,BHK21control,BHK21control,BHK21virus,BHK21virus,BHK21virus,C636control,C636control,C636control,C636virus,C636virus,C636virus,GPMVcontrol,GPMVcontrol,GPMVcontrol,GPMVvirus,GPMVvirus,GPMVvirus,GPMVvirus,GPMVvirus,U2OScontrol,U2OScontrol,U2OScontrol,U2OSvirus,U2OSvirus,U2OSvirus
CE 16:2;0,CE,STE,STO,16,2,0,,NA,NA,0.0420872870904322,NA,NA,0.0363927382441727,NA,NA,NA,NA,NA,NA,0.0567735924785034,0.0566558415520927,0.0541339732348294,0.0506522544179468,0.0561124553013606,0.0415224800642163,NA,NA,NA,NA,NA,NA,NA,NA,0.0391373028302158,0.0543111081052716,0.041572313620566,0.0414821423843169,0.0547401495711559,0.0436482464748076
CE 17:0;0,CE,STE,STO,17,0,0,,0.111944247708055,0.159390767087692,0.217276161188996,0.12519003638806,0.132533212851956,0.19967097632909,0.0383862177476871,0.0406916704577037,0.0424667461130158,NA,0.0535857923661396,0.0398503226718915,0.23779341905467,0.309069952941728,0.24369315314255,0.243030498591573,0.255112930970442,0.212123655487075,NA,NA,NA,NA,NA,NA,NA,NA,0.0691623590134785,0.0689650354949643,0.0742943729004151,0.0619978173428725,0.0514122016353492,0.109192084445296
CE 17:1;0,CE,STE,STO,17,1,0,,0.160414870528786,0.225800044952539,0.376364414720721,0.16795379969883,0.215752919317715,0.354570977304894,0.0669242230825749,0.0396268078958968,0.0860391075866551,0.0522070411352562,0.0666532326524797,0.0789065130753992,0.49609871170782,0.59887467474588,0.459150208553773,0.443778675811078,0.484087501605516,0.398887427062372,0.384643220560055,0.10752530946989,NA,0.202615612683195,0.389294024484787,0.2772229006842,NA,0.215241247680329,0.102330913335749,0.108603212318706,0.143554698081372,0.115939218299466,0.0817434041978538,0.181775899141912
CE 17:2;0,CE,STE,STO,17,2,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0149887290725582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CE 18:0;0,CE,STE,STO,18,0,0,,0.239624609346499,0.304992459682617,0.378042404586417,0.225930410020808,0.270932352945127,0.340567115208578,0.0935032718039982,0.0955809208565458,0.0844168754002627,0.0725624734229322,0.0679078362881218,0.081841274873386,0.482119662100684,0.559749719053027,0.447784422400867,0.49712375259069,0.445743412100096,0.376931416503527,0.241917855451628,0.0560969570796356,NA,NA,0.347254290366239,0.170425699806903,NA,0.116851397420906,0.277647297851112,0.312383792085893,0.256398569802387,0.264291497149499,0.311440698283348,0.318766507428029
CE 18:1;0,CE,STE,STO,18,1,0,,2.06642639847579,2.75796949826389,4.07320840098549,1.91817406689168,2.5279654221386,3.57739500064901,1.28558634769571,0.609349764224472,1.03263342147398,1.24794706697465,0.874309703118428,1.06357293609125,5.22133206483804,6.26935688560893,4.7400939532726,4.91060018355421,4.97479645158099,4.19051748328061,3.27388972946877,0.87711001498699,0.979445610103328,1.77206862376223,4.20480558226335,2.15829943862558,0.798295967990631,1.88716061286718,1.95223069386461,2.08683003186622,2.43668499610966,1.98253847402487,1.80843960544616,2.96391037828487
CE 18:2;0,CE,STE,STO,18,2,0,,0.622581320638038,0.912051013240457,1.16383310647948,0.586649275621351,0.787389298806316,1.03810389329227,0.393497128988766,0.155182158404666,0.452281823649924,0.318798012703339,0.20040659880738,0.423854380083248,1.21060199188744,1.80784939177914,1.11450875267386,0.967670249928185,1.28406801311256,0.894678518118552,1.24246880783941,0.343166083190858,0.323363394069227,0.59669962229465,1.58292430777293,0.824108567937088,0.268748773536801,0.663373478925983,0.536010175460174,0.574646508686911,0.779953759499807,0.623368220152215,0.413465283741705,1.13893786611519
CE 18:3;0,CE,STE,STO,18,3,0,,0.0677016838702221,0.0825221248067018,0.174020995312077,0.0656376507518269,0.0871392764521715,0.158371541074539,0.0386616302925806,NA,0.0519851251460066,0.0306909607819288,NA,0.0400970821783436,0.198923790601988,0.289296314034609,0.207033946427326,0.158908186774617,0.202622989773095,0.167789314074813,0.171719080667083,NA,NA,NA,NA,NA,NA,NA,0.050906040318293,0.0520959757611363,0.0671578904489191,0.0538285219022001,0.0292510224576141,0.0935047551789255
CE 19:0;0,CE,STE,STO,19,0,0,,NA,NA,NA,NA,NA,NA,NA,0.0857444805400233,NA,NA,NA,NA,0.0209057742032286,0.027775999139846,0.0266690637781104,0.030590713231519,0.0181086776197647,0.0191545521478898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CE 19:1;0,CE,STE,STO,19,1,0,,0.0318674938936063,0.0478027977839616,0.0701461369957743,0.0359650014666662,0.0409335459385641,0.0707313881724441,NA,NA,NA,NA,NA,NA,0.086877811186312,0.122909353594203,0.0933807825759348,0.0928719512458251,0.0897768903066853,0.0848232634027845,NA,NA,NA,NA,NA,NA,NA,NA,0.0365195699341374,0.0436978436259487,0.0447573245254867,0.0377504118119657,0.0343426082575435,0.0498705174551282
