Sample Name,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_B,NegMSMSALL-CAS9_B,NegMSMSALL-CAV_A,NegMSMSALL-CAV_A,NegMSMSALL-CAV_B,NegMSMSALL-CAV_B,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_B,NegMSMSALL-CAVIN_B,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_B,NegMSMSALL-CERS5_B,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_B,NegMSMSALL-Flot2_B,NegMSMSALL-RAJU-Blank,NegMSMSALL-RAJU-Blank,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_B,NegMSMSALL-SPTLC_B,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_B,NegMSMSALL-UGCG_B,NegMSMSALL-WT_A,NegMSMSALL-WT_A,NegMSMSALL-WT_B,NegMSMSALL-WT_B
PC 30:5+HCOO (FA 20:5),40.5168,27.2555,7.3525,16.7924,0,24.7359,38.6214,57.8192,0,0,0,12.9782,0,0,0,30.254,0,0,0,0,0,0,0,17.4547,0,0,0,0,0,0,0,0,0,0,5.2895,0,0,0,0,0,3.3376,0
PC 30:5+HCOO (LPC pe),40,22,32,37,0,25,0,34,38,44,37,34.9745,45,40,45,23.1522,30.1661,32.3966,64,46.673,45,55,24.6868,37,40,34.5583,59,35,0,0,37,34,33,49,47,27,40,27,23,29.673,0,27
PC 30:4+HCOO (LPC pe),27.3556,31.2672,97.6732,18.3405,0,78.4161,67.6128,42.0327,62.3387,100.2285,59.3288,76.3946,106.6103,126.2155,176.934,107.8983,108.7642,54.4043,148.8814,131.9409,63.6173,101.7047,109.1639,122.2798,86.7545,78.1866,126.5863,161.0538,0,0,47.2143,22.0645,43.8606,52.3726,189.1901,163.0676,255.1169,177.4767,85.7744,33.396,77.9011,63.1094
PC 30:4+HCOO (LPC pe),3.2768,0,6.2214,0,0,0,0,0,6.2629,0,0,0,0,0,0,0,9.9835,12.6075,0.4428,0,0,0,18.2924,11.756,9.2768,4.8828,2.9082,7.7422,0,0,0,7.2352,0,0,0,0,12.2768,0,0,0,0,0
PC 30:4+HCOO (LPC pe),14.8943,3.5285,0,25.5185,25.5696,0,0,0.0881,2.2482,0,13.6823,3.6781,51.4738,0,0,28.8204,0,28.0125,0,13.2447,24.7826,0,21.41,11.2886,0,0,2.3181,0,0,0,0,20.985,4.9642,2.9737,0,0,0,14.9243,4.935,0,4.2109,13.4165
PC 30:3+HCOO (LPC pe),53.1102,89.99,108.4404,91.2172,38.9042,78.3434,145,312.5485,77.8658,72.5637,62.1557,116.4209,59.133,85.763,146.1083,258.2923,25.4966,53.3622,33.5627,60.1067,45.2542,42.3373,99.2844,94.3177,336.1145,884.0113,86.6551,168.7528,104,177,100.6511,163.1296,121.6794,104.5846,54.8465,106.5525,33.5705,43.465,55.099,102.024,15.3987,41.5613
PC 30:3+HCOO (LPC pe),6.4963,0,0,0,0,0,0,0,14.3794,1.6925,0,0,22.4302,0,17.9989,18.842,20.5375,19.9462,38.1442,27.6788,3.7136,25.8475,0,26.2888,13.7209,30.6511,22.8832,0,0,0,0,0,0,0,11.0939,10.5672,0,12.9219,24.5011,19.9488,0,30.2954
PC 30:3+HCOO (LPC pe),77.7793,48.4084,73.338,66.2013,46.3736,14.4111,63.8615,50.5126,5.934,43.5916,23.7378,9.4161,40.9072,43.7564,14.1949,6.8103,18.6972,27.561,6.6323,8.3349,8.4013,15.625,0,17.3154,116.1968,0,20.1596,0,2.542,0,58.3951,34.4148,23.8123,22.0412,23.1785,5.4486,29.4065,49.4116,8.7772,28.7972,0,9.5034
PC O-32:9+HCOO (LPC pe),4.638,31.1224,0,25.952,11.837,0,0,26.1842,15.0302,0,26.2231,0,0,25.1589,0,39.1388,12.2275,14.8369,1.2567,10.6649,14.1989,7.3065,22.2508,35.891,39.0522,41.9043,34.686,20.2444,0,8,0,24.5466,0,0,17.9228,0,18.815,0,18.9571,14.3311,0,15.5895
PC O-32:9+HCOO (LPC pe),13.2866,14.9008,31.6527,24.6621,17.7241,16.6668,45.9939,110.7312,30.0756,27.8079,18.4069,45.2304,8.7176,5.0759,26.7308,71.7761,18.4507,23.3667,51.432,36.3849,21.0659,9.0116,15.9235,30.009,78.9022,249.0695,46.4212,18.4865,41.5206,46.8376,31.9203,31.757,20.2583,13.427,12.6505,7.1985,17.1185,11.0449,0,15.4392,0,31.0774
