Sample Name,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_B,NegMSMSALL-CAS9_B,NegMSMSALL-CAV_A,NegMSMSALL-CAV_A,NegMSMSALL-CAV_B,NegMSMSALL-CAV_B,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_B,NegMSMSALL-CAVIN_B,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_B,NegMSMSALL-CERS5_B,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_B,NegMSMSALL-Flot2_B,NegMSMSALL-RAJU-Blank,NegMSMSALL-RAJU-Blank,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_B,NegMSMSALL-SPTLC_B,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_B,NegMSMSALL-UGCG_B,NegMSMSALL-WT_A,NegMSMSALL-WT_A,NegMSMSALL-WT_B,NegMSMSALL-WT_B
Group,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1
PS 32:5 (PS),30.5043,22.9981,23.4306,21.9285,7.738,24.5139,0,7.286,7.5452,0,0,0,0,14.1287,15.5781,16.898,0,6.0136,4.4903,14.4631,5.5958,0,0,13.9407,6.2071,0,12.8425,0,0,0,0,20.0918,0,0,0,0,14.5263,29,7.9593,0,16.7356,0
PS 32:4 (PS),36.8936,39.8029,48.7374,28.644,21.7924,2.696,5.7596,0,17.652,43.2724,15.1485,17.3371,9.8847,36.794,25.6423,34.3984,40.0312,25.3388,24.4177,37.627,33.1207,25.6565,28.1894,19.277,10.0874,29.431,31.8092,15.6583,0,0,22.537,2.4538,29.9706,30.6685,0,22.1661,23.3167,15.4247,26.7908,63.124,38.8086,40.3219
PS 32:3 (PS),9.4993,0,2.4923,0,0,0,0,0,0,0,14.4177,0,0,0,0,0,0,0,0,13.3849,9.0829,0,0,9.7127,0,0,0,9.9344,0,0,0,0,0,0,0,0,0,0,2.6227,14.6983,0,0
PS 32:2 (FA 16:1),63.834,67.1714,102.6833,85.4972,0,0,0,0,0,143.2115,120.8539,133.4072,112.8083,125.7346,138.9759,137.6801,113.0667,184.1201,216.5033,167.156,148.2658,147.8716,155.2651,143.998,118.6692,144.9404,141.3313,161.2481,0,0,0,0,0,0,59.699,0,0,43.4239,168.3675,0,158.8144,158.7612
PS 32:2 (FA 18:0),292.3053,0,301.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS O-34:5 (FA 20:5),38.7761,33.0452,0,0,19.5197,31.7364,64.8805,60.6258,0,0,20.7042,0,0,0,53.7978,30.0714,14.4983,34.5344,36.7719,4.1151,1.4917,14.8999,15.3599,32.6142,0,0,15.0487,0,0,0,0,0,0,0,42.0888,0,22.4896,15.5002,0,0,0,0
PS O-34:5 (PS),26.8905,25,0,0,0,0,0,0,0,0,0,21.8791,23.9825,24.9796,0,0,0,21.9332,29.9495,18.052,0,0,0,26.95,0,0,0,0,0,0,23.8422,30.5259,0,0,0,0,0,22,0,0,0,0
PS O-34:4 (PS),86.7981,89.8087,66.9676,76.8794,142.7607,139.7319,139.6435,97.8617,135.6797,146.1737,94.7896,103.7818,106.3456,75.8195,147,128.8666,90.9006,79.4217,90.1945,98.04,123,91.449,130.5123,105.7775,78.9797,0,81.9949,108,0,0,111.8019,133.6576,112.5217,161.7916,137,150,101,98.3917,113.8961,92.9552,76.9324,86
PS O-34:4 (FA 16:1),116.1904,102.5431,116.7436,117.8166,137.9126,0,92.1691,61.1743,153.8123,170.5853,106.9165,117.6668,139.3436,123.2887,189.6316,200.9256,179.7852,199.7155,266.6321,260.9833,0,214.0254,0,145.7401,194.2138,159.2863,143.1627,193.9324,0,0,93.6335,102.6724,89.1589,79.4766,120.8781,88.5084,89.932,90.0497,202.8661,216.3562,200.4518,161.7798
PS O-34:4 (FA 18:3),55.9942,71.0218,78.9642,49.7378,32.885,57.4905,35.1396,18.8879,35.4967,45.377,2.1464,56.7936,42.1253,53.9195,91.2055,36.8799,69.9884,88.0038,107.2557,85.7398,82.0734,93.8448,43.5344,83.8793,110.8793,94.3844,97.4441,99.7873,0,0,28.3869,27.1055,14.762,20.8879,66.5481,39.0732,29.5766,28.3913,40.0497,37.8048,70.5283,10.0412
