Sample Name,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_B,NegMSMSALL-CAS9_B,NegMSMSALL-CAV_A,NegMSMSALL-CAV_A,NegMSMSALL-CAV_B,NegMSMSALL-CAV_B,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_B,NegMSMSALL-CAVIN_B,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_B,NegMSMSALL-CERS5_B,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_B,NegMSMSALL-Flot2_B,NegMSMSALL-RAJU-Blank,NegMSMSALL-RAJU-Blank,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_B,NegMSMSALL-SPTLC_B,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_B,NegMSMSALL-UGCG_B,NegMSMSALL-WT_A,NegMSMSALL-WT_A,NegMSMSALL-WT_B,NegMSMSALL-WT_B
PA O-38:5 (FA 20:5),4979.9942,4842.6023,0,0,0,0,16652.1929,12941.097,0,0,2403.22,0,0,0,8906.1217,7250.6392,0,0,0,0,0,0,2164.518,4444.892,0,0,0,0,0,0,0,0,0,0,4890.8301,6130.9756,2081.4587,1917.5532,0,0,3942.5764,4366.5729
PA O-38:5 (FA 20:4),164.9114,0,0,0,0,0,471.4518,428.7053,0,0,48.8475,0,0,0,448.242,377.2556,0,0,0,0,0,0,30.732,52.3861,0,0,0,0,0,0,0,0,0,0,0,0,0,451.5309,0,0,59.1967,74.5444
PA O-38:4 (FA 18:0),132.3519,105.7521,0,0,0,0,87.1894,51.6638,0,0,42.4745,29.6502,0,0,92.8114,49.2813,0,0,0,0,0,0,36.7988,0,0,0,0,0,0,0,0,117.8349,0,140.2058,68.8149,61.1168,84.4356,64.1647,0,0,0,0
PA O-38:4 (FA 20:4),2575.8616,2439.345,0,0,600.4069,482.4647,8244.7468,6223.1822,0,0,606.7323,0,0,0,4890.6897,4113.8642,0,0,0,0,0,0,1546.9498,0,0,0,0,0,0,0,0,0,0,0,4442.1058,3479.6684,1796.3193,1617.9534,0,0,0,0
PA 38:9 (PA),98.8768,128.6948,168.5502,157.5226,65.5508,56.1696,57.6137,48.8202,118.5226,102.027,98.4181,88.1619,93.6613,59.2683,112.0026,89.8142,87.07,61.6183,136.554,105.5384,126.7194,131.4957,108.1407,134.7611,152.7139,86.1361,73.3654,82.8691,0,0,28.6255,33.1906,21.4244,38.9962,86.5214,74.7223,95.2347,40.9642,129.5289,0,91.3061,104.6326
PA O-38:2 (FA 18:0),69.0684,50.2812,55.128,48.4655,0,0,0,0,0,0,0,38.6898,0,0,55.5159,61.5395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA O-38:2 (FA 20:2),35,20.9242,21.6698,23.165,0,0,0,0,0,0,0,29,0,0,21.2252,14.5184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA O-38:2 (PA),75.2901,50.5817,42.2057,15.9858,0,0,5.849,18.0031,10.2143,21.919,36.4962,29.8117,0,0,15.3673,30.0028,25.2715,49.6365,18.7238,29.7422,29.2238,52.3782,64.9652,68.4324,23.8706,45.2566,0,0,0,0,18.8455,25.3558,0,0,0,0,0,0,21.1427,0,41.1002,67.0961
PA 38:8 (PA),1.9238,12.8449,0,9.0487,0,13.936,11.2758,12.3565,30.1015,5.9483,14.7839,19.5787,21.0805,23.9593,25.524,33.026,20.5097,12.7941,26.9194,33.7215,17.9027,12.6818,17.8905,18.3614,1.8046,5.3514,8.2964,1.4628,0,0,0,0,0,0,0,0,2.7544,0,17.3664,0,13.936,0
PA O-38:1 (FA 18:0),143.482,144.8822,0,144.2018,0,0,0,0,131.9345,0,95.6862,137.799,0,0,147.9438,0,0,0,195.3449,0,0,0,91.5474,182.1065,0,0,0,0,0,0,0,0,0,0,0,0,90.7348,0,0,169.0035,104.4173,148.0025
