Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
DAG 34:1+NH4 (-FA 17:0 (NH4)),32,0,27,24,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,22,0,0,0,0
DAG 34:1+NH4 (-FA 18:0 (NH4)),503,474,513,655,317,250,255,273,500,559,0,506,231,250,295,306,371,372,368,336,485,419,397,406,385,386,545,553,0,0,191,184,196,199,314,292,309,323,730,0,0,583
DAG 34:1+NH4 (-FA 18:1 (NH4)),6159,6467,7356,6815,2830,2528,2386,2307,4585,4438,4379,4460,3322,3136,3448,3619,4570,4224,4234,4232,5294,5328,0,4555,4515,4090,6700,0,0,0,0,2521,2703,3035,0,3624,3958,4117,6551,6493,5114,4858
DAG 34:1+NH4 (-FA 19:0 (NH4)),1733,1706,2402,2597,0,539,739,790,1982,2285,532,574,356,346,663,621,306,331,187,206,260,248,177,235,262,0,0,393,333,238,2343,2637,2950,2831,785,796,422,517,167,154,130,0
DAG 34:1+NH4 (-FA 19:1 (NH4)),1206,1372,1818,1885,356,453,755,0,1707,1631,0,390,287,370,588,0,323,0,0,194,197,179,247,243,289,311,277,0,0,0,1695,1975,2113,2097,752,817,350,407,0,0,0,0
DAG 34:1+NH4 (-FA 20:0 (NH4)),990,1033,1604,1512,205,221,0,1063,785,834,226,290,363,468,741,592,0,547,154,0,331,334,444,515,425,468,273,348,0,0,1341,0,0,0,0,1280,0,0,0,166,279,329
DAG 34:1+NH4 (-FA 20:1 (NH4)),327,351,478,556,81,106,385,321,311,312,70,0,140,131,240,169,162,159,76,87,106,67,152,169,141,108,89,142,0,0,544,542,463,439,356,0,126,103,0,0,79,67
DAG 34:0+NH4 (-FA 14:0 (NH4)),612,750,747,678,0,0,493,0,1057,0,0,0,0,0,438,432,0,0,0,0,0,0,439,424,754,665,0,0,0,0,152,145,181,177,0,312,0,0,0,0,0,0
DAG 34:0+NH4 (-FA 15:0 (NH4)),900,829,1304,1154,253,237,0,522,967,892,301,260,0,0,331,341,196,162,0,0,0,0,141,193,199,262,0,0,0,1392,1149,1118,1248,0,525,518,0,0,98,74,91,0
DAG 34:0+NH4 (-FA 16:0 (NH4)),363,405,427,490,321,302,248,253,324,434,461,0,0,0,415,400,738,545,0,0,0,0,0,429,475,485,0,0,290,262,250,287,306,319,456,456,0,0,402,440,0,302
