Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
Des 18:1+NH4 (Des),486.2985,583.5296,736.6915,592.0684,353.1076,309.1431,55.8095,0,493.4242,592.8893,616.9155,589.2519,0,0,0,0,627.3559,447.5084,320.7387,250.6142,583.5084,528.2002,469.4611,427.8035,407.1392,424.7853,0,0,0,0,0,0,0,0,173.4914,110.3617,0,23.3664,826.9152,928.418,699.9023,635.0327
CE 18:1+NH4 (Chol),16235.5909,16566.5574,18648.8731,16368.2681,11516.0019,10848.3472,8577.6036,8122.5829,10447.912,10328.7655,11250.3375,11907.2496,5304.0808,4634.3642,5231.9363,5388.5324,4245.3103,4114.2484,3317.1243,3538.0049,5837.905,5432.22,4764.5767,4949.0715,8063.6272,6969.9054,8704.01,8812.2406,0,0,3215.0201,3189.533,3764.1864,3897.9939,5386.4904,5142.5331,4964.338,4638.496,16087.335,17369.255,13281.1803,12777.3302
Des 18:0+NH4 (Des),13.6884,0,0,0,6.9045,0,0,0,0,0,0,0,0,14.7289,13.201,27.552,0,8.3321,0,0,9.7325,18.6618,19.4043,45.6665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Des 19:3+NH4 (Des),269.415,255.5371,193.9553,314.2639,116.5547,104.7626,1698.5157,1717.3301,67.3386,80.5812,0,0,272.9261,245.209,216.6207,181.1876,0,0,1282.491,1544.2824,0,0,68.9814,51.6143,18.6444,25.3402,0,0,0,0,0,0,0,0,899.7637,1018.4329,823.747,823.2911,0,0,105.4307,87.3139
CE 19:0+NH4 (Chol),28.7087,32.7987,54.7837,23.107,16.9151,13.1566,26.5674,13.236,73.6263,22.996,43.3209,14.087,0,6.9506,29.9179,0,14.9163,21.4455,0,2.5983,0,29.5209,0,14.8084,6.3133,46.2538,47.8919,23.2405,0,0,3.925,0,0,33.5723,34.9482,1.8346,40.4829,13.0732,52.7997,13.8718,17.9861,48.7784
Des 20:6+NH4 (Des),0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1369,0,0,0,0,0,0,0,0,0,12.4687,0,43.0241,0,0,0,0,0,0,0,0,0,0,0,26.8372,0,0,0
CE 20:6+NH4 (Chol),25.9465,28.5831,37.848,25.241,24.9976,36.6363,22.7073,0,0,8.7723,6.9054,12.3815,12.9822,28.5979,0,0,0,26.9383,0,0,19.6889,0,0,0,0,17.537,15.8889,29.9507,0,0,30.4674,0,31.2706,0,0,25.282,15.495,4.2274,8.4829,21.5343,0,36.5575
Des 20:5+NH4 (Des),2.9157,0,0,2.8833,0,0,13.8537,0,0,4.5471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3572,0,0,0,0,19.958,0,0,0,9.8357,0,0,0,0,0,0,0
CE 20:5+NH4 (Chol),266.0329,337.9789,334.1503,313.8852,239.4087,340.4732,379.6111,310.3818,117.8597,146.3885,87.2836,150.6141,4.9583,29.4727,0,0,19.7842,16.4186,35.2386,35.996,2.1525,21.3599,12.2233,0,73.5046,87.0131,88.822,154.6805,0,0,0,22.4595,30.3211,36.4294,71.6947,86.142,44.6001,0,124.7641,108.5699,64.3912,55.7522
Des 20:4+NH4 (Des),0,0,47.3165,27.2867,15.3817,14.2212,6.9891,21.698,19.8156,34.7711,67.8674,54,0,0,5.528,21.8048,0,40.9693,0,49.9839,34,0,40.895,0,0,7.8966,25.854,34,0,0,62.7234,68,74,52.774,16.39,0,13.4959,0,0,34,19.0959,26.7755
CE 20:4+NH4 (Chol),2502.5966,2469.926,2829.7136,2598.08,3486.1038,3379.1031,3331.116,3417.7407,1452.2386,1418.7649,1706.1963,1744.3175,0,0,0,0,0,0,413.6859,425.9056,0,0,0,0,812.0243,921.4973,0,0,0,0,0,0,0,0,1207.6803,1383.087,1032.2915,1067.5311,0,890.1439,867.5713,767.0805
Erg 19:2+NH4 (Erg),3.8425,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,24.2784,25.3111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,30.4264,0,0,0,0,0
CE 21:5+NH4 (Chol),33.5097,26.501,0,20.0356,72.3889,33.5354,39.0846,0,0,0,0,0,0,0,19.8764,0,19.2126,0,0,22.8634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7986,0,0,26.3836,0,0,0,0
Erg 20:3+NH4 (Erg),26.8984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Des 21:4+NH4 (Des),27.5168,10.7693,41.9958,1.6884,0,1.2759,175.6163,171.5741,1.9418,0,0,0,19.9122,74.3212,4.3411,36.1518,0,0,127.1873,124.6812,27,0,0,12.2213,0,0,0,0,0,0,0,0,0,0,52.6939,67.4337,0,54.2548,0,0,0,0
