Sample Name,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_B,NegMSMSALL-CAS9_B,NegMSMSALL-CAV_A,NegMSMSALL-CAV_A,NegMSMSALL-CAV_B,NegMSMSALL-CAV_B,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_B,NegMSMSALL-CAVIN_B,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_B,NegMSMSALL-CERS5_B,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_B,NegMSMSALL-Flot2_B,NegMSMSALL-RAJU-Blank,NegMSMSALL-RAJU-Blank,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_B,NegMSMSALL-SPTLC_B,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_B,NegMSMSALL-UGCG_B,NegMSMSALL-WT_A,NegMSMSALL-WT_A,NegMSMSALL-WT_B,NegMSMSALL-WT_B
OAHFA_18:0/ 34:2 (18:0 FA),945.4726,606.2293,893.8691,780.4086,1289.8983,1422.2403,1173.0726,1028.7271,968.0313,837.9344,834.3832,873.7043,735.5927,705.7477,1374.4691,1020.6414,964.9321,909.665,1215.018,1270.8056,1429.7704,1513.4838,1431.637,1654.3204,1480.7891,0,1205.5333,1065.053,240.7551,181.3673,542.5357,502.8207,621.441,722.8826,960.5197,953.362,682.9441,505.7824,1123.6748,973.4786,915.4189,944.4916
OAHFA_18:1/ 34:1 (18:1 FA),5429.9976,4216.1422,5146.1244,5254.5946,4371.8369,4719.0401,3887.7601,3349.0742,5903.084,5587.0442,4857.2004,5066.9398,2893.4886,2563.4682,4937.8118,3445.0869,3607.5505,3598.95,5139.7443,5146.7149,5878.1483,5651.8911,6266.7653,6382.7606,4304.0347,0,3806.811,3552.1983,1029.6945,795.5456,1984.2278,1646.6797,2182.473,2585.8553,2445.5102,2362.327,2109.2971,1497.0652,10144.4552,8557.1766,7553.734,8802.4148
OAHFA_18:0/ 34:1 (18:0 FA),3024.3616,2562.1101,2923.9899,2966.8725,2749.9048,2670.5128,2303.7341,2355.3022,2460.979,2098.7355,1911.6661,2133.293,1205.9204,967.0879,1824.2449,1380.1209,1394.34,1377.0242,1835.6792,2027.8477,2802.9768,2859.5581,1932.7143,3055.6187,2144.7078,804.8104,1871.278,1753.5895,767.3029,549.6902,791.865,632.9985,808.7199,831.4219,1530.9567,1495.4029,1549.3446,906.8361,2867.0519,0,1942.3513,2597.7719
OAHFA_18:0/ 34:1 (18:0 FA),21150.5829,15014.4986,20221.1162,19376.6823,16347.721,15645.9101,13195.1504,13036.1544,13847.4314,12306.4145,10947.7696,12640.6517,8005.0578,7271.823,13455.2586,9838.2644,10420.0487,11062.5847,14881.5942,15380.7309,20271.7949,21230.2545,20229.3109,21867.574,15928.4159,16905.5865,14243.1111,12562.398,6061.9762,3715.5734,4599.4526,3752.0421,5156.4424,5747.0695,12086.6977,11199.5452,9958.5808,5950.6108,18182.6314,7496.3996,13425.4134,16345.7057
OAHFA_18:0/ 18:1 (FA 18:1),0,4608.0911,0,0,0,0,5280.6079,4008.6748,0,0,0,0,0,0,0,4738.2263,0,0,0,0,0,0,1747.5907,0,0,0,0,0,0,0,0,7458.5745,4323.8921,4407.0295,1668.5317,3785.4572,0,0,0,4814.2286,0,0
OAHFA_18:0/ 16:1 (FA 16:1),0,0,1668.7034,1631.4379,0,0,253.8291,243.013,0,0,0,0,0,0,0,444.8286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523.0269,0,0,354.277,0,0,0,0,0,1427.9552,1649.5592
OAHFA_16:0/ 18:1 (16:0 FA),0,0,461.0161,396.045,0,0,857.2333,600.0308,0,0,0,0,0,0,617.4546,445.0834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2472.6268,2042.5185,1432.877,1383.4557,766.8769,641.6697,457.8807,452.5986,240.6567,0,157.5109,164.0884
OAHFA_18:0/ 16:1 (18:0 FA),0,0,36.084,32.1453,0,0,51.6138,41.9067,0,0,0,0,0,0,24.4515,27.4137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0706,11.7174,40.7287,40.9892,31.1966,41.5614,31.9818,7.6261,26.6174,0,0,0
OAHFA_16:0/ 16:2 (16:0 FA),0,0,0,0,0,0,140.3285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.7435,0,149.1503,132.513,0,0,0,0
OAHFA_16:0/ 16:1 (16:0 FA),0,0,0,0,0,0,44.553,46.7706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.5327,154.025,134.5871,112.0999,5.7536,0,67.2778,45.5545,0,0,0,0
"OAHFA_18:1/ 16:1 (FA 16:1,16:1 FA)",0,0,0,0,0,0,8.1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296.5214,256.8597,0,0,43.7057,0,0,0,0,0,0,0
OAHFA_16:0/ 18:2 (FA 18:2),0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0
"OAHFA_16:1/ 18:1 (FA 18:1,18:1 FA)",0,0,0,0,0,0,38.7222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.695,125.9848,0,0,63.1308,0,0,0,0,0,0,0
