,feature,class,86,94,110,112,117,Control,73,76,89,93,195,196,iKO,iKO vs. CON,iKO vs. CON,63,80,83,108,116,G519R,G519R vs. CON,G519R vs. CON,248,249,255,257,Lrig1-D3,Lrig-D3 vs. CON,Lrig-D3 vs. CON,ALI,Lipid,
,,,VilERT-G519R-86,VilERT-G519R-94,VilERT-G519R-110,VilERT-G519R-112,VilERT-G519R-117,,VilERT-M5B-73,VilERT-M5B-76,VilERT-G519R-89,VilERT-G519R-93,Lrig-M5B-195,Lrig-M5B-196,,,,VilERT-G519R-63,VilERT-G519R-80,VilERT-G519R-83,VilERT-G519R-108,VilERT-G519R-116,,,,Lrig1-M5B-248,Lrig1-M5B-249,Lrig1-M5B-255,Lrig1-M5B-257,,,,H655ALI,H655Lipid,H655
No.,feature,class,Control,Control,Control,Control,Control,Average,iKO,iKO,iKO,iKO,iKO,iKO,Average,"Fold change (log, base 2)",P-value,G519R,G519R,G519R,G519R,G519R,Average,"Fold change (log, base 2)",P-value,Lrig1-D3,Lrig1-D3,Lrig1-D3,Lrig1-D3,Average,"Fold change (log, base 2)",P-value,DGAT-ALI,DGAT-Lipid,"Fold change (log, base 2)"
967,PG 16:1;0_20:4;0,PG,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.010146721,0.006802823,0.006377783,0.008794401,0.008030432,#DIV/0!,#DIV/0!,,,
414,PC 16:1;0_20:3;0,PC,,,,,0.065114329,0.065114329,0.073828621,0.02882471,0.052100197,0.074159111,0.08991357,0.062468873,0.063549181,0.0,#DIV/0!,0.117750704,0.063020702,0.078344732,0.142266633,0.164727737,0.113222102,0.8,#DIV/0!,,0.077633428,,0.199787438,0.138710433,1.1,#DIV/0!,0.139960645,0.120543039,-0.2
415,PC 16:1;0_20:4;0,PC,0.047718074,0.20491099,,0.136747814,0.161952035,0.137832228,0.143775782,0.082779236,0.105934568,0.138334019,0.138585044,0.125706391,0.122519173,-0.2,0.61,0.243165632,0.148174077,0.149603227,0.131680642,0.171261509,0.168777017,0.3,0.43,0.273104237,0.178853138,0.22998964,0.278829493,0.240194127,0.8,0.04,0.149840829,0.123769779,-0.3
416,PC 16:1;0_20:5;0,PC,,,,0.018418158,,0.018418158,,,,0.012177882,,0.007209768,0.009693825,-0.9,#DIV/0!,0.014228464,,,,,0.014228464,-0.4,#DIV/0!,,0.011694485,,,0.011694485,-0.7,#DIV/0!,,0.029507305,#DIV/0!
973,PG 17:0;0_17:1;0,PG,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.002103259,,
418,PC 16:1;0_22:4;0,PC,,,,0.00844809,,0.00844809,0.008563304,0.007380582,0.027358286,,0.008226286,,0.012882114,0.6,#DIV/0!,,0.01679038,,0.034936876,0.032371822,0.028033026,1.7,#DIV/0!,,0.019891009,,,0.019891009,1.2,#DIV/0!,,0.019144713,#DIV/0!
419,PC 16:1;0_22:5;0,PC,,,0.032340361,,,0.032340361,0.010107079,0.011717244,0.018567201,0.016071015,0.011488961,0.01381608,0.01362793,-1.2,#DIV/0!,,0.021717916,0.025232033,,0.033438816,0.026796255,-0.3,#DIV/0!,,0.024814958,,,0.024814958,-0.4,#DIV/0!,0.025714126,0.021120738,-0.3
975,PG 17:1;0_17:1;0,PG,,,,,,0,,,,,,,0,NA,NA,,,0.000149691,,,0.000149691,#DIV/0!,#DIV/0!,,0.000306962,,,0.000306962,#DIV/0!,#DIV/0!,,,
421,PC 16:2;0_18:0;0,PC,,,,0.12976134,,0.12976134,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,0.176681904,#DIV/0!
976,PG 17:1;0_18:0;0,PG,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,0.002634274,,,0.002634274,#DIV/0!,#DIV/0!,,,
989,PG 18:1;0_20:0;0,PG,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.027034767,0.024972042,-0.1
1012,PG 18:3;0_22:5;0,PG,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,0.00130694,,,0.00130694,#DIV/0!,#DIV/0!,,,
890,PC 17:0;0_18:1;0,PC,0.030686346,0.044057907,0.059301944,0.037296994,,0.042835798,0.040682897,0.058316174,0.030723643,0.055789241,0.066946131,0.050110098,0.050428031,0.2,0.38,0.047187516,0.067507442,0.058411211,0.077121726,0.088154077,0.067676394,0.7,0.04,0.070385669,0.080406946,0.065845009,0.053268236,0.067476465,0.7,0.03,0.225035881,0.354968168,0.7
426,PC 17:0;0_18:2;0,PC,0.191999504,0.232369557,0.191544095,0.206626837,0.196759252,0.203859849,0.133845813,0.124336342,0.079720537,0.151576031,0.084972089,0.087688322,0.110356522,-0.9,0.00,0.155095831,0.130720269,0.142941211,0.143996094,0.102013878,0.134953457,-0.6,0.00,0.151490065,0.111502665,0.151464104,0.154953651,0.142352621,-0.5,0.00,0.029704621,,
427,PC 17:0;0_18:3;0,PC,,,0.004684871,,,0.004684871,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
1014,PG 19:1;0_19:1;0,PG,,,,,,0,,,,,,,0,NA,NA,,,0.000386825,,,0.000386825,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
1036,PI 14:0;0_18:0;0,PI,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,0.014002908,,,0.014002908,#DIV/0!,#DIV/0!,,0.014746446,#DIV/0!
865,PC 17:0;0_20:2;0,PC,0.001839367,0.015190714,,0.009805457,0.00661056,0.008361525,,,,,,,0,#NUM!,#DIV/0!,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.01606558,,0.010565178,,0.013315379,0.7,0.34,,0.012593492,#DIV/0!
431,PC 17:0;0_20:3;0,PC,0.001601212,0.010996863,0.032177158,0.003431659,0.003893471,0.010420073,0.039258216,0.003078575,,,0.007820621,,0.016719137,0.7,0.59,0.017345691,,,,,0.017345691,0.7,#DIV/0!,,,0.008817661,,0.008817661,-0.2,#DIV/0!,,,
1039,PI 16:0;0_17:0;0,PI,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,0.00991288,#DIV/0!
1040,PI 16:0;0_17:1;0,PI,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.013878719,0.014342914,0.0
802,PC 17:1;0_18:0;0,PC,,,0.006881417,0.00360262,,0.005242019,0.005427273,0.007764195,0.004386774,0.007928697,0.008945515,,0.006890491,0.4,0.37,0.007335681,0.008635708,0.005940672,0.006319633,0.011914644,0.008029267,0.6,0.22,,,,0.006893971,0.006893971,0.4,#DIV/0!,0.038417849,0.062212095,0.7
1196,PC 17:1;0_18:1;0,PC,0.014344324,0.020913196,0.023534901,0.016913418,0.015505897,0.018242347,0.03078479,0.025936731,0.033964134,0.044070266,0.037122199,0.026881143,0.033126544,0.9,0.00,0.049160093,0.046271668,0.03898729,0.048626893,0.070398297,0.050688848,1.5,0.00,,0.019093171,0.030166623,0.064270156,0.037843317,1.1,0.10,0.248915864,,
1222,PC 17:1;0_18:2;0,PC,,,0.044256133,0.043831653,0.050435962,0.046174583,,,,,,,0,#NUM!,#DIV/0!,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
1046,PI 16:0;0_19:2;0,PI,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.009446522,,
438,PC 17:2;0_18:0;0,PC,0.00950824,0.011620783,0.009157264,,0.008120977,0.009601816,,0.012654793,,,,,0.012654793,0.4,#DIV/0!,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
439,PC 18:0;0_18:1;0,PC,,,,1.819098466,1.856157623,1.837628044,1.788436276,2.080883857,,2.214788592,2.288484572,1.884977478,2.051514155,0.2,0.24,2.436730625,3.254714891,3.10018466,3.112273952,3.131600719,3.00710097,0.7,0.00,,,,,#DIV/0!,#DIV/0!,#DIV/0!,4.408130225,5.648885768,0.4
440,PC 18:0;0_18:2;0,PC,9.947058811,8.570521886,8.028917718,8.929862171,7.882612047,8.671794527,5.487208596,6.020584307,3.695490101,6.551642556,5.535894302,5.566370332,5.476198366,-0.7,0.00,8.589134045,8.574305215,8.877310702,7.516095749,5.640583636,7.839485869,-0.1,0.27,8.466792768,4.208234497,8.362373327,6.903920812,6.985330351,-0.3,0.12,0.75128755,0.72280603,-0.1
441,PC 18:0;0_18:3;0,PC,0.093101543,0.100036468,0.146749311,0.110240963,0.106163542,0.111258366,0.141624779,0.152157392,0.066939104,0.148672015,0.136078112,0.124516874,0.128331379,0.2,0.33,0.192564441,0.128915392,0.117753115,0.14984337,0.188505343,0.155516332,0.5,0.04,0.162997772,0.10549534,0.16804505,0.211215621,0.161938446,0.5,0.05,0.066581003,0.094967691,0.5
1058,PI 16:1;0_17:0;0,PI,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.015863354,0.02244891,0.5
443,PC 18:0;0_19:2;0,PC,0.02976395,,,,,0.02976395,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,0.023587384,#DIV/0!
1067,PI 16:1;0_22:0;0,PI,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,0.00097612,,,0.00097612,#DIV/0!,#DIV/0!,,,
445,PC 18:0;0_20:2;0,PC,,,0.052794712,,,0.052794712,,,,,0.113407161,,0.113407161,1.1,#DIV/0!,0.1471767,,,,0.141558885,0.144367792,1.5,#DIV/0!,,,,0.108461557,0.108461557,1.0,#DIV/0!,0.107556492,0.153629985,0.5
787,PC 18:0;0_20:3;0,PC,0.46215312,0.590694606,0.326983778,0.351970894,0.418048105,0.429970101,0.614761724,0.59096945,0.490650953,0.678849087,0.62995734,0.729765835,0.622492398,0.5,0.01,0.757561378,0.780126606,0.63642025,0.483653983,0.752769644,0.682106372,0.7,0.01,0.501151626,0.530197239,0.499010225,0.646667259,0.544256587,0.3,0.10,0.314494293,0.365253732,0.2
60,PC 18:0;0_20:4;0,PC,1.282436301,1.733825497,0.804821412,0.823694236,0.628549591,1.054665407,1.590690642,1.903736548,1.720354224,1.941275562,1.5525662,1.939399082,1.774670377,0.8,0.01,2.419370736,1.724051428,1.493577252,0.98764804,1.735473189,1.672024129,0.7,0.08,1.484260352,1.875423833,1.557930185,1.671428447,1.647260704,0.6,0.04,0.233707916,0.334277636,0.5
448,PC 18:0;0_20:5;0,PC,0.253206326,0.284574199,0.270078081,0.251332886,0.147773836,0.241393066,0.219491018,0.300686307,0.107503124,0.183150799,0.183877288,0.20877218,0.200580119,-0.3,0.28,0.258431571,0.239971472,0.240000602,0.084499833,0.157573428,0.196095381,-0.3,0.30,0.315959188,0.182448426,0.266089611,0.245119718,0.252404236,0.1,0.77,0.068440113,0.192975784,1.5
1071,PI 17:0;0_17:1;0,PI,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.012307932,,
1079,PI 17:0;0_22:6;0,PI,,,,,,0,,,,,,,0,NA,NA,,0.006649322,,,,0.006649322,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
451,PC 18:0;0_22:4;0,PC,0.018136754,0.029195692,0.029659801,0.020033978,,0.024256556,,,0.063504556,0.04112711,0.015941488,0.02563578,0.036552234,0.6,0.30,0.038379902,,0.038981986,0.063252109,0.069218215,0.052458053,1.1,0.02,0.046815625,0.035923229,0.027843278,0.097736871,0.052079751,1.1,0.13,,,
452,PC 18:0;0_22:5;0,PC,0.092605861,0.100122354,0.082058011,0.095535011,0.073051348,0.088674517,0.070178737,0.10074407,0.109246446,0.086060141,0.056791739,0.104398535,0.087903278,0.0,0.94,0.096652292,0.130370984,0.138682531,0.066847039,0.108060314,0.108122632,0.3,0.19,0.109938179,0.11084565,0.057197865,0.173140279,0.112780494,0.3,0.30,,0.066573531,#DIV/0!
453,PC 18:0;0_22:6;0,PC,0.344512331,0.358305164,0.358810781,0.354253101,0.334422563,0.350060788,0.367092531,0.390600515,0.387847118,0.470667626,0.355096982,0.419845936,0.398525118,0.2,0.03,0.638392932,0.708019999,0.708532444,0.212695197,0.445071287,0.542542372,0.6,0.08,0.398515788,0.287302014,0.42230065,0.615656592,0.430943761,0.3,0.22,0.035654229,0.090968907,1.4
1086,PI 18:0;0_19:1;0,PI,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.012487004,,
1095,PI 18:0;0_22:2;0,PI,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,0.011590543,#DIV/0!
1129,PI 20:2;0_20:2;0,PI,,,,,,0,,,,,,,0,NA,NA,,,,,0.001069514,0.001069514,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
1130,PI 20:2;0_20:3;0,PI,,,,,,0,,,,,,,0,NA,NA,,,,,0.002562584,0.002562584,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
877,PC 18:1;0_18:1;0,PC,0.413694457,0.380835038,0.363001463,0.355957009,0.388466402,0.380390874,1.160271715,1.066779807,0.880555914,1.204545163,1.66138546,1.38919573,1.227122298,1.7,0.00,1.299040806,1.676310904,1.375263696,1.810513683,2.129741117,1.658174041,2.1,0.00,0.414092566,0.657239223,0.512071599,1.002033011,0.6463591,0.8,0.05,7.968157339,5.839834964,-0.4
459,PC 18:1;0_18:2;0,PC,2.115448349,1.85049062,1.890922707,1.980735682,1.892296575,1.945978786,2.208103686,2.357190988,1.673904112,2.704019034,2.559722922,2.357541811,2.310080425,0.2,0.06,2.420019851,2.567187299,3.051666359,3.475147945,2.447127207,2.792229732,0.5,0.00,1.771060135,1.912862966,1.860427795,2.065804587,1.902538871,0.0,0.59,0.937457416,0.709246242,-0.4
1197,PC 18:1;0_18:3;0,PC,0.042020657,0.056663237,0.07390383,0.052722965,0.060536602,0.057169458,0.138162916,0.107320307,0.071505381,0.130281716,0.165211953,0.151402434,0.127314118,1.2,0.00,0.15159301,0.1319253,0.102434284,0.166648472,0.217150395,0.153950292,1.4,0.00,0.076182017,0.075010558,0.088309403,0.16671556,0.101554385,0.8,0.06,0.163522992,0.179782868,0.1
1141,PS 16:0;0_16:1;0,PS,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.021779948,,
1171,PS 16:1;0_24:2;0,PS,,,,,,0,,,,,,,0,NA,NA,,,,,0.003805921,0.003805921,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
1177,PS 17:0;0_17:1;0,PS,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,0.005475247,#DIV/0!
464,PC 18:1;0_20:1;0,PC,,,0.019098593,,,0.019098593,,,,,0.194712816,,0.194712816,3.3,#DIV/0!,0.106236146,,,,0.186439399,0.146337773,2.9,#DIV/0!,,,,0.070344607,0.070344607,1.9,#DIV/0!,0.729421592,0.881511099,0.3
1295,PC 18:1;0_20:2;0,PC,0.037629656,0.052512408,0.04998453,0.042154315,0.054705311,0.047397244,0.113705647,0.096856709,0.108584547,0.101933015,0.117600695,0.122998949,0.110279927,1.2,0.00,0.118867646,0.140581369,0.116113147,0.141308518,0.188730018,0.141120139,1.6,0.00,0.05989926,0.089250578,0.06713143,0.100743936,0.079256301,0.7,0.01,0.323026241,0.329109377,0.0
793,PC 18:1;0_20:3;0,PC,0.127925535,0.156577403,0.103109567,0.096782943,0.08466317,0.113811723,0.305432485,0.254174313,0.208232195,0.301023912,0.357509708,0.359214694,0.297597885,1.4,0.00,0.310354726,0.35047374,0.262789308,0.301063408,0.42448515,0.329833266,1.5,0.00,0.119045629,0.235216682,0.141768245,0.293484813,0.197378842,0.8,0.07,0.480813655,0.414097508,-0.2
1228,PC 18:1;0_20:4;0,PC,0.263910546,0.367287058,0.208058295,0.191708847,0.149235906,0.23604013,0.511470375,0.604718178,0.520695783,0.627522075,0.498240255,0.612303472,0.56249169,1.3,0.00,0.577352187,0.532437187,0.437926946,0.415352634,0.530796727,0.498773136,1.1,0.00,0.296650862,0.48999578,0.297374258,0.466750235,0.387692784,0.7,0.05,0.286862252,0.370909711,0.4
474,PC 18:1;0_20:5;0,PC,0.066115573,0.083051608,0.072796201,0.066649589,0.044216453,0.066565885,0.120641037,0.127438639,0.058027053,0.09350487,0.126400706,0.115221999,0.106872384,0.7,0.02,0.114072945,0.11306327,0.103540695,0.07878269,0.156818626,0.113255645,0.8,0.01,0.071012011,0.080894594,0.07882649,0.137374396,0.092026873,0.5,0.14,0.187300338,0.308718741,0.7
1181,PS 17:0;0_19:1;0,PS,,,,,,0,,,,,,,0,NA,NA,,,0.00467836,,,0.00467836,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
1182,PS 17:0;0_20:1;0,PS,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.000320781,0.000359588,0.2
1193,PS 18:0;0_19:1;0,PS,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,0.007972713,#DIV/0!
472,PC 18:1;0_22:4;0,PC,,0.038360313,,,,0.038360313,0.038444806,0.033969064,0.059681498,0.045176439,0.049384628,0.047200707,0.045642857,0.3,#DIV/0!,0.06147899,0.067667701,0.078981082,0.070813453,0.113134232,0.078415091,1.0,#DIV/0!,,0.04382728,0.040037399,,0.041932339,0.1,#DIV/0!,,,
473,PC 18:1;0_22:5;0,PC,0.036597004,0.044233329,,,,0.040415167,0.078037726,0.078387794,0.097140626,0.076751807,0.091052656,0.084865878,0.084372748,1.1,0.00,0.092362636,0.104225693,0.119755768,0.095669088,0.134829855,0.109368608,1.4,0.00,0.066086915,0.095586256,,,0.080836586,1.0,0.12,0.078464404,0.145519151,0.9
222,PC 18:1;0_22:6;0,PC,0.046254016,0.055497861,0.0692799,0.039204424,0.032314354,0.048510111,0.120031228,0.146163682,0.125742176,0.143985582,0.18746903,0.14229885,0.144281758,1.6,0.00,0.145540476,0.205615455,0.169057004,0.102714012,0.179183456,0.160422081,1.7,0.00,,0.070141561,0.080740673,0.096013849,0.082298694,0.8,0.02,0.085726468,0.168765003,1.0
1194,PS 18:0;0_19:2;0,PS,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.011530875,0.014430425,0.3
1210,PS 18:0;0_24:3;0,PS,,,,,,0,,,,,,,0,NA,NA,,,,,0.013194652,0.013194652,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
1211,PS 18:0;0_24:4;0,PS,,,,,,0,,,,,,,0,NA,NA,,0.003397662,,,,0.003397662,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
478,PC 18:2;0_18:2;0,PC,1.152489137,0.915007009,1.075108823,0.985678427,1.011328433,1.027922366,0.860317113,0.799559811,0.657077662,0.711314275,0.63846689,0.91020564,0.762823565,-0.4,0.00,0.542191051,0.54885685,0.743538109,0.743019371,0.472148985,0.609950873,-0.8,0.00,0.784389969,1.400486624,0.657018415,0.639953619,0.870462157,-0.2,0.37,0.023555968,0.020556306,-0.2
479,PC 18:2;0_18:3;0,PC,0.09730581,0.091838661,0.207408533,0.117051754,0.122449128,0.127210777,0.092472587,0.095236014,0.03392596,0.056077434,0.067186476,0.077828327,0.070454466,-0.9,0.03,0.063763857,0.057969072,0.054152724,0.040990055,0.046511879,0.052677517,-1.3,0.01,0.077815854,0.096317591,0.080369779,0.061918284,0.079105377,-0.7,0.09,,,
51,PC 18:2;0_19:0;0,PC,0.049319133,0.12983454,,0.080853839,0.059970042,0.079994389,,,,,,,0,#NUM!,#DIV/0!,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.056696466,,0.051076565,,0.053886515,-0.6,0.39,,,
481,PC 18:2;0_19:1;0,PC,0.030748981,0.035485078,,0.022922135,0.021279543,0.027608934,,0.040312546,,,0.02345815,,0.031885348,0.2,0.58,0.027088178,,,,,0.027088178,0.0,#DIV/0!,,,0.024829225,,0.024829225,-0.2,#DIV/0!,,,
482,PC 18:2;0_20:0;0,PC,,,0.074670889,,,0.074670889,,,,,0.127444213,,0.127444213,0.8,#DIV/0!,0.101527733,,,,0.108124512,0.104826122,0.5,#DIV/0!,,,,0.114681797,0.114681797,0.6,#DIV/0!,,,
870,PC 18:2;0_20:1;0,PC,0.11341092,0.144739927,0.112596948,0.098696158,0.110841691,0.116057129,0.213069846,0.209057325,0.130247608,0.226918026,0.226077517,0.271179022,0.212758224,0.9,0.00,0.223593421,0.199307892,0.193348846,0.173105392,0.23813509,0.205498128,0.8,0.00,0.146863467,0.168545121,0.151190653,0.182872511,0.162367938,0.5,0.00,0.063112612,0.088958092,0.5
484,PC 18:2;0_20:2;0,PC,0.098444499,0.104796591,0.109642535,0.082609543,0.067974552,0.092693544,0.1231304,0.099504862,0.098954334,0.105577422,0.117466141,0.12915917,0.112298722,0.3,0.06,0.093712305,0.124338342,0.128449907,0.129357123,0.129215646,0.121014665,0.4,0.03,0.111425526,0.157634534,0.101977428,0.135633667,0.126667789,0.5,0.05,0.037268791,0.042143208,0.2
861,PC 18:2;0_20:3;0,PC,0.105363649,0.11882964,0.115561164,0.081972353,0.063654447,0.097076251,0.156767965,0.119530187,0.116966725,0.110787017,0.136650673,0.162360265,0.133843805,0.5,0.02,0.104978298,0.119336737,0.11412423,0.114482091,0.122082202,0.115000712,0.2,0.14,0.102315253,0.171674077,0.091897313,0.164572965,0.132614902,0.5,0.15,0.043543113,0.038124334,-0.2
486,PC 18:2;0_20:4;0,PC,0.236104938,0.313598543,0.255868552,0.184130902,0.167521036,0.231444794,0.323218539,0.273630388,0.312509323,0.247132688,0.218134502,0.33050414,0.284188263,0.3,0.13,0.239182332,0.211012828,0.231593203,0.231903382,0.229342238,0.228606797,0.0,0.92,0.256327802,0.463496253,0.214458511,0.304005506,0.309572018,0.4,0.21,0.026311266,0.028003122,0.1
487,PC 18:2;0_20:5;0,PC,,,0.066198262,,,0.066198262,0.024412754,0.032370441,0.013950542,0.019050413,0.025951718,0.031322763,0.024509772,-1.4,#DIV/0!,,0.016912255,,,,0.016912255,-2.0,#DIV/0!,0.040420101,0.022481621,,,0.031450861,-1.1,#DIV/0!,,,
488,PC 18:2;0_22:0;0,PC,0.029145107,,,0.018997904,,0.024071506,0.029115402,0.033088417,0.023057245,0.027721219,0.04449595,0.044212677,0.033615152,0.5,0.23,0.027007673,0.042196766,0.03779479,0.022343337,0.036705222,0.033209558,0.5,0.23,0.021522721,0.019850855,0.033156789,,0.024843455,0.0,0.91,,,
489,PC 18:2;0_22:1;0,PC,0.025811155,,,,0.021693034,0.023752095,0.020040506,0.017332954,0.027004174,0.054384818,0.025081693,0.028591248,0.028739232,0.3,0.63,0.021806254,0.023022282,0.035642406,,0.021027318,0.025374565,0.1,0.78,,0.043564301,0.027898598,,0.03573145,0.6,0.28,,,
1215,PS 18:1;0_19:0;0,PS,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.039935177,0.036361881,-0.1
1230,PS 18:1;0_23:0;0,PS,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.024433157,,
492,PC 18:2;0_22:4;0,PC,0.05991778,0.150178366,,,,0.105048073,0.076897392,0.039894833,0.085618962,0.073178377,0.069571842,0.065561236,0.068453774,-0.6,0.18,,0.09778444,0.13596431,0.116643909,0.114619236,0.116252974,0.1,0.73,,0.102389139,,,0.102389139,0.0,#DIV/0!,,,
493,PC 18:2;0_22:5;0,PC,0.043646818,0.056581887,,0.042458149,0.032863352,0.043887552,0.067382637,0.057851528,0.071105335,0.053374892,,0.063186936,0.062580266,0.5,0.01,,0.062180017,0.077995133,0.06265657,0.067207904,0.067509906,0.6,0.01,,0.087309774,,0.075070221,0.081189998,0.9,0.01,,,
780,PC 18:2;0_22:6;0,PC,,0.082325582,0.054904994,0.062664561,0.051472779,0.062841979,0.100868907,0.090359989,0.079379151,0.075795809,0.074090162,0.107118232,0.087935375,0.5,0.02,0.064576586,0.102037882,0.099449609,0.057317397,0.090712702,0.082818835,0.4,0.14,0.056646636,0.08507892,0.047024406,0.077960998,0.06667774,0.1,0.75,,,
495,PC 18:2;0_24:0;0,PC,,0.013265037,,,,0.013265037,0.020814754,0.024012342,,0.019857149,0.029934317,0.030135927,0.024950898,0.9,#DIV/0!,0.021288867,0.019586283,0.026028515,,0.046887622,0.028447822,1.1,#DIV/0!,,,0.013431346,,0.013431346,0.0,#DIV/0!,,,
1251,PS 18:3;0_20:2;0,PS,,,,,,0,,,,,,,0,NA,NA,,,,,0.000724755,0.000724755,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
1258,PS 20:0;0_20:2;0,PS,,,,,,0,,,,,,,0,NA,NA,,,,,0.002616137,0.002616137,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.006609248,0.007859913,0.3
498,PC 18:2;0_24:5;0,PC,,,,,0.004321311,0.004321311,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
1261,PS 20:0;0_20:5;0,PS,,,,,,0,,,,,,,0,NA,NA,,0.003275774,,,,0.003275774,#DIV/0!,#DIV/0!,,0.005593956,,,0.005593956,#DIV/0!,#DIV/0!,,,
1265,PS 20:1;0_20:2;0,PS,,,,,,0,,,,,,,0,NA,NA,,,,,0.004847179,0.004847179,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.006910508,0.004782451,-0.5
1275,PS 20:2;0_24:0;0,PS,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,0.024967967,#DIV/0!
