,feature,class,86,94,110,112,117,Control,73,76,89,93,195,196,iKO,iKO vs. CON,iKO vs. CON,63,80,83,108,116,G519R,G519R vs. CON,G519R vs. CON,248,249,255,257,Lrig1-D3,Lrig-D3 vs. CON,Lrig-D3 vs. CON,ALI,Lipid,
,,,VilERT-G519R-86,VilERT-G519R-94,VilERT-G519R-110,VilERT-G519R-112,VilERT-G519R-117,,VilERT-M5B-73,VilERT-M5B-76,VilERT-G519R-89,VilERT-G519R-93,Lrig-M5B-195,Lrig-M5B-196,,,,VilERT-G519R-63,VilERT-G519R-80,VilERT-G519R-83,VilERT-G519R-108,VilERT-G519R-116,,,,Lrig1-M5B-248,Lrig1-M5B-249,Lrig1-M5B-255,Lrig1-M5B-257,,,,H655ALI,H655Lipid,H655
No.,feature,class,Control,Control,Control,Control,Control,Average,iKO,iKO,iKO,iKO,iKO,iKO,Average,"Fold change (log, base 2)",P-value,G519R,G519R,G519R,G519R,G519R,Average,"Fold change (log, base 2)",P-value,Lrig1-D3,Lrig1-D3,Lrig1-D3,Lrig1-D3,Average,"Fold change (log, base 2)",P-value,DGAT-ALI,DGAT-Lipid,"Fold change (log, base 2)"
64,Cer 44:2;2,Cer,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.041881391,0.010625621,-2.0
21,CL 72:6;0,CL,0.135257323,0.122524973,0.114054525,0.139104348,0.188862281,0.13996069,0.17123689,0.122383018,0.090341119,0.158950858,0.137464047,0.165926464,0.141050399,0.0,0.95,0.111865975,0.17299837,0.17243841,0.122297495,0.166703811,0.149260812,0.1,0.63,0.070691788,0.088269809,0.053322824,0.114055096,0.081584879,-0.8,0.02,0.068877458,0.065487026,-0.1
22,CL 72:8;0,CL,0.852051063,0.801204643,0.508911321,0.710129731,0.631252058,0.700709763,0.246197555,0.29916677,0.187933275,0.286804935,0.311805917,0.303765195,0.272612274,-1.4,0.00,0.58528077,0.668779266,0.686391239,0.29240921,0.344656914,0.51550348,-0.4,0.11,0.73761172,0.26299679,0.577267046,0.313757064,0.472908155,-0.6,0.10,0.038263743,0.020166429,-0.9
23,CL 72:9;0,CL,0.024425918,0.021372349,0.014969936,0.026271412,0.020738282,0.021555579,,0.011031437,0.005820262,,,,0.008425849,-1.4,0.01,0.016562169,0.013307454,,,0.011168935,0.01367952,-0.7,0.03,0.017442275,0.014598685,0.011750227,,0.014597062,-0.6,0.05,,,
66,DAG 12:0;0_18:1;0,DAG,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,0.006724162,#DIV/0!
25,CL 74:9;0,CL,0.024804776,0.012682069,,,0.019217164,0.018901337,,0.006705513,0.033737272,0.029396308,0.00881402,0.02416437,0.020563497,0.1,0.84,,0.056040683,0.050140984,0.019835196,0.037004898,0.04075544,1.1,0.08,,0.018548003,,,0.018548003,0.0,#DIV/0!,,,
26,CL 76:10;0,CL,,,,,0.008333443,0.008333443,,,,,,,0,NA,NA,,0.010508099,,,,0.010508099,0.3,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
27,CL 76:11;0,CL,0.007078386,,,,,0.007078386,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
28,CL 76:12;0,CL,0.010089147,,,,0.006681208,0.008385178,,,0.006055157,,,,0.006055157,-0.5,#DIV/0!,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
29,CL 76:8;0,CL,0.008691618,,,,,0.008691618,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
