Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
"GD3 30:0;3 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",93.4291,78.8644,111.2217,96.0677,97.7309,83.4085,101.9979,78.8747,208.655,161.0759,113.9281,118.0841,89.5605,59.5954,63.972,60.9014,118.542,103.9426,100.0595,100.8439,184.4147,185.1581,126.0698,147.2546,76.5256,58.154,124.0369,102.3141,0,0,0,56.8645,71.2382,47.5092,135,162,210,128,186.545,166.1739,132.423,141.9736
"GD3 29:1;4 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",27.5843,0,26.736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4845
GD3 30:0;3 (LCB 18:0;2-H2O),1.8765,0,0,0,0,0,0,10.346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GD3 32:3;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",26.707,0,40.6844,0,18.3512,0,58.1032,44.0758,14.6465,0,33.4967,46.713,0,2.5857,0,25.7854,0,0,73.097,87.7343,0,0,29.1994,22.1595,11.9409,0,0,0,0,0,0,0,0,0,28.2129,0,74,37.8358,0,0,37.0184,26.8705
GD3 32:2;2 (LCB 18:0;2-H2O),43.5897,37.9771,26.0345,18.1559,0,0,168.0695,195.8732,24.193,0,0,0,30.5573,37.4796,0,0,0,0,65.8163,26.2156,0,0,0,23.7782,0,0,0,0,0,0,0,0,0,0,38.6662,44.5654,28.5381,14.9501,0,0,43.3315,14.7494
GD3 32:2;3 (LCB 18:0;2-2H2O),27,0,0,0,0,0,0,0,26.9642,0,0,0,0,0,26.8173,0,0,0,0,0,0,0,0,0,27.2962,40.4779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GD3 32:2;3 (LCB 18:0;2-H2O),4.1868,0,0,0,0,0,0,15.4304,0,0,0,0,0,0,134.9934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
"GD3 32:0;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",61,47,27,0,33.9929,0,20,27,61.2284,47,0,0,76.1048,0,42.5148,56.0087,27,0,0,27,34,41,47.0406,47.4234,0,133.8108,0,0,0,0,0,0,0,0,0,122.1573,0,0,0,0,0,0
"GD3 32:0;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",60.4281,17.3462,106.9436,66.9436,88.49,69.0254,112.4027,120.9436,93.3362,98.3462,103.0254,108,82.0097,98.079,139.2607,121.2635,66.9436,81,52.9436,86.9436,95.4845,103.0254,81.6929,136.5768,26.7467,0,72.8872,95,0,0,47,34.4845,61,66.9436,13.2049,0,46.9436,41.4845,145.729,115,128,101
GD3 34:4;2 (LCB 18:0;2-2H2O),106.9999,75,54.0035,13,0.0787,54.0223,27,20,83.1214,14.0072,13,41,12.9158,95.0909,66.2011,95.4814,34,20,47.5652,61,54,13,44.2832,7.0912,27.5818,54.5818,88,7,0,0,41,16.7691,20.023,47,18.7795,21.4688,20.0253,54,7,0,40,7
"GD3 34:4;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",4.9725,15.0948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39,10.1809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GD3 33:4;3 (LCB 18:0;2-H2O),25.6456,34,26.1566,0,26.1546,41,28.4999,54.3128,0,0,0,0,0,0,0,14.3737,0,0,32.6033,20.5746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8003,32.7841,24.8388,24.2427,0,0,0,0
"GD3 34:2;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",13.7743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6734,0,0,0,0,0,0,0,0,0,0,0,17.8345,0,0,0,0,0,0
GD3 33:3;3 (LCB 18:0;2-H2O),40.9275,14.4845,0,26.9508,0,0,31.9303,38.0111,0,0,0,0,0,0,0,0,0,0,34.2841,27.8686,0,0,0,26.9895,0,0,0,0,0,0,0,0,0,0,0,21.1686,0,0,0,0,0,0
GD3 34:1;3 (LCB 18:0;2-2H2O),13.8557,21.6713,53.6332,18.2802,0,0,0,0,46.123,27.3265,40.4198,11.6984,22.502,30.5913,24.3924,37.0851,14.3167,0,0,0,26.9263,19.4786,30.5846,19.4611,0,0,0,0,0,0,0,0,25.5906,0,0,0,0,0,60.8971,55.755,29.4502,25.6657
GD3 34:1;3 (LCB 18:0;2-H2O),48.9591,32.0182,19.5296,33.0529,0,0,58.9452,47.7802,0,40.2081,0,0,24.3045,0,72.8979,66.8572,0,0,20.3232,26.0002,0,0,0,0,0,0,0,25.6199,0,0,0,0,0,0,33.1837,29.1033,42.016,33.2022,0,0,0,0
GD3 36:4;2 (LCB 18:0;2-H2O),47.8596,29.5178,24.4215,0,0,0,37.7525,36.4075,0,0,0,0,0,0,0,0,0,0,30.9551,30.2512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7298,36.8429,0,0,0,0
GD3 36:2;2 (LCB 18:0;2-2H2O),26.0019,25.4389,0,0,0,0,0,0,37.4605,32.0316,0,0,31.5875,44.5407,15.6447,38.3119,0,27,0,0,0,0,51.1865,31.6599,48.4638,64.7318,0,0,0,0,0,0,12.1566,0,40.9741,43.4162,0,0,0,0,0,0
GD3 35:4;3 (LCB 18:0;2-H2O),0,0,0,0,0,0,0,11.3297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3538,0,0,0,0,0
GD3 36:2;2 (LCB 18:0;2-H2O),50.0418,30.3629,0,0,34,27,80.6314,97.5332,0,26.6727,0,0,0,0,0,0,0,0,41.3018,76.8309,0,0,0,0,0,0,0,0,0,0,0,0,14,0,40.7299,33.7565,53.0759,17.58,0,0,0,0
"GD3 34:1;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",27,27,41.6962,0,61,81,27,47,34,0,34,61,0,34,34,0,34,34,0,27,34,0,0,41,27,0,0,47,0,0,34,41,54,68,0,34,0,47,0,54,34,27
GD3 36:0;2 (LCB 18:0;2-2H2O),12.4108,0,0,0,0,0,0,0,0,23.018,0,0,0,29.0003,26.9649,5.4881,0,0,0,0,0,0,12.2649,0,26.7209,25.6241,0,0,0,0,20,5.996,0,0,11.0308,27.7002,0,0,0,0,0,0
GD3 36:0;3 (LCB 18:0;2-2H2O),195.9438,142.024,176,176,216.9173,224.8345,142,169,363.1633,213.8657,196,229.9871,254.8391,241.5849,154.5119,264.5666,318,183,207.7285,227.7285,241.7285,311,241.1282,279.5587,183.4588,221.2262,203,298,0,0,88.3021,132.579,148.9795,149,63.0985,51.8649,122,115,244,315.7285,243,216
GD3 35:0;4 (LCB 18:0;2-2H2O),11.1701,35.49,1.4527,69.4527,0,0,0,0,0,0,4.9551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.9506,61.8217,0,22.9549,0,0,0,0
GD3 38:3;2 (LCB 18:0;2-2H2O),220.9417,145.9842,276.2279,120.2279,417.1847,367.2487,319.4696,326.2842,281.0379,280.0276,279.1521,339.3129,292.3148,274.4718,315.2045,363.9651,333.1502,276.077,269.8731,177.2913,424.0841,327.7538,296.5833,327.6734,227.1082,272.4102,295.4709,310.732,0,0,315.8085,287.5797,350.8707,261.8743,221.6027,236.1308,276.0513,254.7001,373.6357,312.1316,262.3318,254.5171
