Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
PE 32:8 (-PE),52,44,33,47,57,60,47,59,120,115,135,94,122,109,115,140,101,67,99,62,108,97,106,89,76,74,81,79,0,0,17,0,30,32,27,0,0,0,147,158,108,82
PE 32:8 (LPE p),0,4.7373,8.3771,0,3.3945,0,0,0,0.1663,11.3285,0,0,22.5311,24.7523,20.3152,14.3451,8.8879,0,0,0,0,5.5712,8.5563,21.8866,0,14.6997,0,0,0,0,0,0,15.2247,21.2625,45.6012,47.1489,5.582,0,0,0,0,0
NAPE 30:10+NH4 (-NAPE (18:2 NH4)),32,35,30,32,40,34,29,25,22,22,32,28,15,35,29,30,62,44,30,30,44,34,32,0,13,24,33,27,0,0,29,27,55,45,28,0,0,44,0,0,0,30
NAPE 30:10+NH4 (-NAPE (18:0 NH4)),25,0,0,0,0,33,0,0,48,44,0,0,57,35,27,34,0,0,0,0,0,0,25,37,54,54,0,0,0,0,0,0,0,0,52,72,0,0,0,0,0,0
NAPE 30:10+NH4 (-NAPE (20:4 NH4)),57,64,64,47,79,66,52,53,30,52,67,67,62,81,47,71,103,98,55,39,86,79,47,51,56,62,67,94,0,0,81,82,94,62,45,59,97,82,43,44,29,32
NAPE 30:10+NH4 (-NAPE (22:6 NH4)),72,79,73,65,74,105,66,78,64,62,98,84,60,84,62,67,108,96,61,59,81,104,44,57,74,0,101,104,0,0,98,79,109,130,74,71,80,73,27,44,35,22
NAPE 30:10+NH4 (-NAPE (22:5 NH4)),214,184,179,180,254,229,206,218,152,211,270,211,201,184,186,194,312,346,164,157,334,399,137,162,195,155,329,260,0,0,250,277,317,331,194,248,286,255,116,158,118,145
PE O-32:1 (-PE),52,59,72,62,123,140,105,92,130,106,133,111,176,155,138,137,93,121,108,150,133,153,113,96,86,88,118,76,0,0,79,62,72,72,25,35,30,35,104,76,69,94
NAPE 30:9+NH4 (-NAPE (18:1 NH4)),101,70,69,49,79,29,61,76,76,52,0,0,52,57,0,34,0,0,74,68,0,0,24,0,30,59,0,0,0,0,0,0,0,0,76,79,155,167,0,0,0,0
PE O-32:0 (-PE),49,0,67,52,66,91,62,79,106,115,135,138,98,120,80,100,57,67,67,69,94,86,72,86,56,52,66,59,0,0,89,72,64,74,35,23,30,25,50,52,44,39
PE O-32:0 (LPE p),24.3435,0,0,0,0,15.7077,0,0,12.4967,9.6896,0,0,0,0,19.5228,0,0,0,0,0,0,0,18.3204,0,0,0,0,0,0,0,0,0,0,0,0,6.7856,0,0,0,0,0,0
NAPE 30:8+NH4 (-NAPE (16:0 NH4)),2.1085,0,0,15.4619,0,0,0,0,0,21.7701,0,0,12.339,0,0,0,0,0,0,0,0,0,0,12.3659,0,0,0,0,0,0,0,0,0,0,12.1397,15.2539,0,0,28.4521,47.6459,20.1347,0
NAPE 30:8+NH4 (-NAPE (18:0 NH4)),140,0,75,74,74,67,84,89,72,92,32,12,44,96,44,49,0,0,104,130,0,0,0,0,54,33,0,0,0,0,0,0,0,0,93,93,284,214,0,0,37,54
NAPE 30:8+NH4 (-NAPE (22:6 NH4)),27,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23,0,0,0,0,0,0,0,0,37,23,0,0,0,0,0,0,0,0,29,40,23,23,25,22,0,0
PE 32:4 (LPE p),11.1329,0,11.4652,15.2255,52.0286,22.4312,0,0,66.6906,42.1316,0,0,53.8838,48.7148,71.4193,37.2231,20.3381,0,0,0,17.3957,24.0689,64.6924,53.7322,90.787,65.1353,13.6078,0,0,0,0,0,17.0744,0,71.4453,109.5726,29.0208,0,0,0,0,0
NAPE 30:5+NH4 (-NAPE (20:4 NH4)),101,82,123,105,111,59,62,67,79,87,111,118,83,67,86,86,81,82,76,42,63,52,71,79,86,62,77,68,133,117,139,135,84,148,53,66,81,106,69,56,42,51
NAPE 30:5+NH4 (-NAPE (22:6 NH4)),53,40,0,30,37,27,0,47,23,25,0,0,25,37,0,0,0,0,32,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,27,84,100,0,0,0,0
NAPE 30:5+NH4 (-NAPE (18:2 NH4)),115,94,123,118,38,72,30,27,86,50,84,103,74,94,103,103,22,81,72,54,56,70,71,76,89,74,116,118,86,72,101,106,111,122,69,77,118,89,71,54,43,35
PE 32:3 (-PE),23,0,0,0,29,37,0,22,0,47,25,0,28,39,32,37,28,37,28,29,39,23,32,27,25,0,40,22,0,0,25,27,27,32,0,0,23,0,27,49,0,0
NAPE 30:4+NH4 (-NAPE (18:2 NH4)),39,24,32,56,0,0,0,25,0,0,0,25,24,28,0,41,0,27,0,22,0,44,23,0,0,0,50,37,54,10,0,0,44,0,0,0,27,35,0,0,0,0
NAPE 30:4+NH4 (-NAPE (22:5 NH4)),22,25,23,0,0,0,22,0,0,0,0,0,22,0,0,0,0,0,22,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,50,44,0,0,0,0
NAPE 30:4+NH4 (-NAPE (18:2 NH4)),350,354,517,498,165,192,133,71,265,253,294,308,216,321,326,316,165,199,193,206,231,265,194,199,250,196,346,360,275,223,346,370,411,368,182,192,327,335,179,162,123,115
NAPE 30:4+NH4 (-NAPE (18:1 NH4)),30,0,37,0,118,126,30,0,133,91,0,25,155,167,160,133,24,0,22,0,35,27,185,177,262,289,32,0,0,0,47,44,23,35,164,191,27,0,0,0,0,0
PE 32:2 (-PE),524,505,493,400,653,712,456,456,1106,1223,1116,1144,1474,1356,1385,1486,1126,923,952,911,991,1003,917,968,617,707,777,771,0,0,523,412,578,618,245,246,220,204,1446,1572,980,1087
PE 32:2 (LPE p),28.7275,0,16.5497,0,14.5463,5.1892,0,0,22.5805,0,0,0,0,21.0462,21.2903,24.6256,0,0,0,0,0,0,17.0767,0.33,57.234,17.4608,0,0,0,0,0,0,0,0,45.3886,7.2016,0,0,0,0,0,0
NAPE 30:3+NH4 (-NAPE (18:2 NH4)),72,65,79,86,40,25,44,27,52,62,75,47,72,86,86,113,226,189,91,86,59,74,76,69,49,83,169,133,0,0,81,104,128,123,72,56,109,130,71,52,65,77
NAPE 30:3+NH4 (-NAPE (18:1 NH4)),19,27,44,43,0,0,0,0,35,0,32,30,23,22,0,25,0,0,0,0,0,0,0,0,0,32,22,22,0,0,22,37,45,52,0,0,22,27,0,0,0,0
NAPE 30:3+NH4 (-NAPE (18:0 NH4)),59,44,54,40,84,72,47,50,88,103,22,0,128,142,84,89,0,32,41,33,32,33,93,89,169,185,0,0,0,0,35,54,25,45,199,154,54,43,0,0,25,0
NAPE 30:3+NH4 (-NAPE (22:6 NH4)),154,133,192,260,126,130,70,61,197,182,120,114,306,265,263,197,124,89,96,74,149,103,196,216,317,371,194,213,0,0,165,192,187,207,338,319,135,170,96,89,72,86
NAPE 30:3+NH4 (-NAPE (22:5 NH4)),30,0,0,0,0,0,0,0,33,50,0,0,52,39,49,32,0,0,0,0,0,0,12,47,56,76,0,0,0,0,23,29,0,25,54,54,0,0,0,0,0,0
PE 32:1 (-PE),3174,3254,3360,2887,5383,5334,3830,3804,6269,6250,6176,6458,6619,6707,6782,7307,5605,5001,5113,4968,5781,5450,5120,4956,3947,3725,4418,4505,0,0,2978,3243,3529,3890,1992,1968,1887,1723,5889,6124,4515,4620
PE 32:1 (LPE p),52.6229,70.2777,40.5933,68.9943,87.5477,113.6869,0,0,105.066,109.7013,30,37,128.5338,98.359,143.5022,101.9804,44.9924,27,29,40,63.9935,42.0563,123.4257,120.8058,208.1829,301.8358,32.9949,25,0,0,27.1502,36.074,0,25,162.4907,186.3267,41.9892,41.5376,0,0,0,0
PE 32:0 (-PE),1164,1258,1344,1233,1782,1829,1404,1336,1878,1898,1873,1872,1076,1127,1249,1329,1158,969,1031,959,1274,1230,1012,1240,914,776,1057,1100,0,0,1627,1453,1878,1818,659,618,650,574,1211,1365,999,1151
NAPE 30:1+NH4 (-NAPE (22:6 NH4)),88,86,44,47,45,42,47,47,32,34,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,28,0,0
PE 34:9 (-PE),107,81,72,91,105,169,83,134,184,171,187,153,184,154,157,184,171,165,154,123,172,172,116,138,150,105,145,169,0,0,44,62,57,67,33,44,47,44,204,216,186,187
NAPE 32:11+NH4 (-NAPE (18:2 NH4)),32,35,86,54,91,81,62,77,66,30,108,135,59,35,81,64,91,76,38,35,23,40,39,50,89,94,44,56,0,0,67,121,76,50,51,66,59,61,35,29,37,47
NAPE 32:11+NH4 (-NAPE (22:6 NH4)),60,69,23,42,0,24,50,49,35,10,0,25,47,43,30,30,0,0,39,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,27,56,40,0,0,37,25
PE O-34:2 (-PE),1786,1850,1876,1662,2017,2034,1443,1579,2590,2377,2685,2669,2488,2578,2706,2679,2061,1950,1848,1727,2896,2735,2512,2592,1904,1869,2441,2427,0,0,767,725,864,817,868,948,827,843,3578,4176,3133,2856
PE 34:8 (-PE),664,672,735,622,783,778,546,563,933,945,938,969,998,1125,992,1062,744,744,739,680,1093,1122,883,922,791,744,921,971,0,0,251,273,334,311,382,334,329,368,1442,1559,1306,1132
PE 34:8 (LPE p),25.1954,13.4149,0,0,0,9.9711,0,0,39.4711,41.7881,0,0,42.0994,32.1423,29.9411,38.2315,12.669,0,0,0,0,6.3423,20.4722,17.9004,91.5347,73.1065,0,0,0,0,0,0,0,17.9,56.3702,47.8387,0,0,0,0,15.7283,0
NAPE 32:10+NH4 (-NAPE (18:1 NH4)),86,140,211,197,70,64,65,77,82,96,67,81,87,77,118,87,123,97,34,32,59,52,54,67,123,162,76,93,844,727,126,172,140,123,72,91,118,92,59,37,0,45
NAPE 32:10+NH4 (-NAPE (18:0 NH4)),110,113,91,79,59,91,70,79,101,125,95,127,125,152,128,144,72,103,91,61,143,128,106,152,86,121,130,116,0,0,42,0,37,34,39,81,47,52,208,218,147,148
NAPE 32:10+NH4 (-NAPE (22:5 NH4)),22,28,0,0,0,0,57,39,0,0,40,54,0,0,0,0,0,0,22,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,42
