Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
"GM3 38:3;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",3.9706,0,0,0,34.6433,29.1067,0,0,19.5014,42.7922,0,0,39.6882,68.1141,39.0781,25.3854,10.0918,0,0,0,0,0,26.0229,49.1339,80.0454,99.212,0,0,0,10.9253,0,0,8.7983,22,85.0886,55.661,0,0,0,0,0,7
"GM3 38:2;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",25.7078,0,0,4.9151,0,7.6473,32.2733,0,40.9107,1.5543,0,0,18.5512,19.3249,8.2947,0,0,59.2711,0,22.0779,0,0,10.3904,10.4727,3.8976,0,0,0,0,0,25.733,0,0,0,0,12.3984,0,39.3107,7,27,27,30.0918
GM3 38:2;3 (LCB 18:0;2-H2O),57.4532,38.5967,86.2683,37.889,20.919,19.0565,76.9965,35.5862,0,0,0,0,0,17.8865,0,0,0,0,60.5033,68.8066,0,0,21.9123,0,0,0,0,0,0,0,0,0,0,0,14.3923,33.4114,33.9348,79.5835,0,0,0,9.0342
GM3 38:1;3 (LCB 18:0;2-2H2O),44.2084,67.5534,58.8135,55.2927,25.2822,0,19.8945,0,8.0308,23.4991,0,22.9829,9.6057,0.9068,6.7257,20.3862,60.2645,23.8666,29.1159,44.3987,14.1757,41.3097,43.1266,36.9208,23.8201,18.8865,47.338,50.0703,0,0,31.6616,26.1619,3.8926,1.6013,11.9235,20.6507,1.4209,60.7531,0,22.9513,5.0836,24.1159
"GM3 38:1;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",10.3669,0,0,3.8101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6802,0,8.0675,14.3157,0,0,0,0,0,0,0,1.7169,0,0,0,0,0,0,0,0
GM3 38:0;3 (LCB 18:0;2-H2O),61.11,20.0629,0,28.5139,0,0,71.2791,79.0626,22.8735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,28.5016,32.2019,0,0,0,0,0,0
GM2 26:0;2 (LCB 18:0;2-2H2O),30.9221,0,34,21.9456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5198,0,0,0,27,27,0,0,7.718,0,0,0,6.7953,0,37.9165,27,0,0,0,0
GM2 26:0;2 (LCB 18:0;2-H2O),82.3232,98.0419,42.6494,71.6099,18.3761,34.5284,0,0,40.7424,0,28.5649,13.9708,16.3024,34.3537,10.9736,4.3708,0,0,65.0901,74.9775,34,34,15.2334,10.0514,27,0,34,0,0,0,0,0,27,0,3.8673,52.9677,125.4211,110.993,27,37.0125,47.6374,42.2778
"GM2 28:2;2 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",17.4376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GM2 28:1;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",175.1669,170.7074,0,0,0,0,0,0,148.9081,182.2489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GM2 28:1;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",30.4764,52.6397,0,0,0,0,0,0,26.9031,23.1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM2 28:1;2 (LCB 18:0;2-H2O),10.4706,32.0601,0,0,0,0,0,0,34,8.7917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM2 28:0;2 (LCB 18:0;2-2H2O),29.1102,46.5752,23.3116,11.083,34.0329,40.8218,0,0,71.6388,23.3756,0,0,42.3991,38.4871,23.0985,66.9335,53.8829,23.0741,32.9974,0,20.049,24.0054,46.0225,56.4426,96.9773,125.342,17.6125,0,0,0,0,0,5.9499,0,86.8805,68.1677,44.2242,43.1051,0,0,0,0
"GM2 26:1;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",31.1129,7.1164,25.5564,18.6192,20.6805,19.6477,0,0,71.1924,55.5437,8.5102,0,96.8883,41.826,79.5667,37.7571,0,0,0,0,26.9844,0,38.7664,41.1992,70.3291,132.7219,0,0,0,0,27.2496,34.8115,11.3139,0,50.5977,57.8972,11.6601,0,0,0,0,9.7426
GM2 28:0;2 (LCB 18:0;2-H2O),55.4561,78.1308,77.0733,22.39,0,32.8406,137.0798,85.6156,7.2472,55.5945,11.3139,27,39.1087,11.3139,0,0,0,0,64.7921,62.0099,27,0,0,35.5347,0,0,0,0,0,0,0,0,0,0,45.6186,35.7747,22.6246,38.8055,11.3139,0,17.8954,7.2472
GM2 26:0;4 (LCB 18:0;2-H2O),41.4452,6.1241,14.0221,57.7037,0,0,71.7756,109.3784,27.9081,28.9547,0,0,2.8664,32.9328,0,0,0,0,72.6326,100.7671,0,0,52.9233,19.3497,18.8665,0,0,0,0,0,0,0,0,0,34.6903,31.8737,36.0404,49.1203,0,0,14.4076,20.9081
"GM2 28:3;3 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",6.9585,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM3 42:0;3 (LCB 18:0;2-H2O),23.7613,25.8168,0,0,14.8177,0,87.627,161.9884,0,7.0819,0,0,0,0,0,0,0,0,0,55.928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3991,0,0,0,0,0,0,0
"GM2 30:3;2 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",353.5118,447.4755,584.3694,506.3867,141.0061,0,255.0353,256.9611,249.5657,243.5872,0,101.3662,0,0,0,0,0,0,0,223.3209,372.573,278.266,324.6235,324.6991,0,287.8745,446.7418,0,0,0,0,0,0,0,244.2658,294.8791,256.4583,298.301,192.2148,237.0247,119.2268,173.1285
"GM2 30:3;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",4685.1212,4640.7124,5381.2538,4268.7922,2842.4028,0,2414.2756,2363.0394,3476.2831,3015.3223,0,3512.7975,0,0,0,0,0,0,0,1487.5253,3212.4102,3226.7322,3303.9179,3126.1505,0,2724.3669,3330.5382,0,0,0,0,0,0,0,2483.0967,2439.1687,2559.7904,2350.2023,5120.2346,4975.7262,5136.914,4572.1379
GM3 44:0;2 (LCB 18:0;2-2H2O),20.3812,19.1276,9.3033,0,7.5883,0,0,0,0,0,0,27,0,0,0,0,0,0,0,27,0,0,9.5277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7334,54,0,27,0
"GM2 30:3;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",642.4973,679.2825,585.0039,661.7714,386.0148,0,459.4685,410.4915,589.501,492.2276,0,469.7162,0,0,0,0,0,0,0,265.1194,455.7162,489.7162,452.7885,439.8623,0,327.7242,430.7648,0,0,0,0,0,0,0,342.146,399.1904,308.1711,330.0639,651.426,610.9963,623.426,602
GM3 44:0;2 (LCB 17:0;2-2H2O),280.3968,299.2551,304.0923,308.3968,172.4397,0,132.3968,166.3968,202.928,230,0,271.0598,0,0,0,0,0,0,0,148.7833,280.3968,196,228.3909,269.8387,0,184.8502,162,0,0,0,0,0,0,0,238.7877,188.8039,189,196,381.2894,321.3968,317.0923,256.594
"GM2 30:1;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",1139.7739,1465.1971,1559.339,0,0,0,603.0438,493.8182,0,0,0,0,0,0,0,0,0,0,844.3404,870.0621,1682.3768,2031.1777,1636.962,1604.8632,0,1570.8253,0,0,0,0,0,0,0,0,1963.7864,1815.8319,1896.7263,1913.1374,0,0,0,0
