Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
PG 36:4 (-PG),39,32,35,39,0,29,34,25,39,30,32,43,42,32,37,28,34,37,47,44,32,35,32,59,40,39,34,47,0,0,0,0,0,0,30,0,30,42,50,62,64
PG 36:4 (-PG),563,469,550,575,292,279,297,314,327,268,353,328,631,585,742,637,534,596,672,688,697,697,716,773,439,444,575,645,0,169,186,256,238,474,476,532,520,556,536,504,492
PG O-38:10 (-PG),96,92,103,113,65,96,52,91,65,72,94,67,130,98,137,138,118,118,126,139,160,145,157,128,132,91,109,108,0,52,30,25,77,79,121,118,133,118,101,89,97
PG 36:3 (-PG),23,39,0,29,0,24,0,0,0,0,23,27,28,30,0,34,39,35,45,32,23,0,23,27,0,28,40,23,0,0,0,0,0,29,22,0,35,0,35,23,0
PG 36:2 (-PG),23,0,39,32,30,38,25,0,30,50,47,38,32,44,40,30,45,47,35,42,35,54,52,40,39,0,32,25,0,22,46,40,35,40,30,47,0,44,30,39,22
PG O-38:8 (-PG (NH4)),24,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,30,0,22,0,0,0
PG 36:1 (-PG),30,0,52,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,72,0,44,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
PG O-38:7 (-PG (NH4)),37,30,51,42,27,35,0,0,24,25,25,0,0,0,0,0,0,0,0,0,22,25,22,23,0,0,0,39,0,0,22,0,32,0,0,0,0,32,33,0,0
PG O-38:6 (-PG (NH4)),35,34,49,27,57,43,57,39,67,49,47,67,55,42,61,52,62,55,42,47,47,33,72,40,61,42,50,68,0,42,44,49,52,64,56,76,69,72,30,44,40
PG 38:10 (-PG (NH4)),55,51,45,37,0,0,0,25,0,33,30,30,0,45,22,0,22,30,0,24,23,0,0,13,0,23,22,34,0,0,0,0,33,0,0,0,0,34,25,0,0
PG O-38:3 (-PG (NH4)),27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
PG 38:9 (-PG (NH4)),199,218,193,198,192,186,135,152,99,105,180,155,99,84,123,121,118,123,99,74,121,135,139,116,142,125,176,141,0,150,165,198,177,116,143,111,135,120,125,104,108
PG O-38:2 (-PG (NH4)),86,101,83,93,54,57,40,44,35,34,59,47,49,28,45,43,57,61,50,55,49,32,44,44,35,40,50,55,0,45,35,64,72,57,57,67,64,50,47,37,52
PG 38:8 (-PG (NH4)),202,226,267,235,114,89,61,93,81,77,119,98,159,126,111,137,121,123,133,167,176,198,113,133,243,248,255,207,0,98,97,147,111,167,138,125,140,148,140,97,118
