Unsaturation,Control,G519R,Lrig1-D3,iKO
0,0.0,-1.1186866056749745,-0.6413829823976595,-1.8365011251190926
1,0.0,4.599150290842286,1.2364916399484416,11.560669559369648
2,0.0,-4.543519487061543,-0.6159794575211446,-2.499408705340831
>=3,0.0,-2.3478276075901556,-0.5929475969093502,-0.4586528053141903
